"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	
1449	1829	1351	708	100	552	354	84	228	694	374	102	124	407	466	
1464	1913	1380	743	104	558	359	81	222	708	396	111	125	410	517	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
622	875	647	504	56	399	215	71	103	257	145	48	69	213	208	
75	61	48	50	0	35	43	3	25	107	43	1	6	45	31	
767	977	685	189	48	124	101	7	94	344	208	62	50	152	278	
75	61	48	50	0	35	43	3	25	107	43	1	6	45	31	
622	874	647	504	56	399	215	71	103	257	145	48	69	213	208	
5	12	13	2	0	2	1	0	0	1	3	0	0	4	2	
692	923	682	552	56	432	257	74	128	363	185	49	75	254	237	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	6	7	1	1	2	0	0	1	0	0	0	0	0	2	
62	221	139	39	0	37	15	3	20	38	28	3	6	13	23	
20	48	32	14	0	20	4	0	5	20	3	1	2	6	2	
605	622	489	482	55	371	234	70	102	296	146	43	65	231	201	
1	4	1	4	0	2	2	1	0	2	4	0	2	2	6	
2	9	10	5	0	0	2	0	0	7	4	1	0	2	1	
2	10	2	3	0	0	0	0	0	0	0	1	0	0	2	
0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	
