"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	
2152	690	189	2176	447	193	176	273	348	170	98	192	511	276	464	253	68	58	83	
2160	700	180	2205	460	195	180	310	370	180	110	200	530	290	460	260	70	60	80	
0	0	32	0	58	0	51	62	0	54	6	0	2	0	47	29	0	0	0	
1260	372	61	980	199	88	56	90	158	39	51	100	280	148	168	93	25	28	35	
111	34	26	131	25	17	4	11	8	0	6	11	35	8	17	1	5	1	0	
789	294	61	1094	178	90	69	147	204	87	47	89	213	134	228	137	40	31	45	
111	34	58	131	83	17	55	73	8	54	12	11	37	8	64	30	5	1	0	
1260	372	61	980	199	88	56	90	158	39	51	100	280	148	168	93	25	28	35	
16	7	0	7	3	0	0	0	0	0	2	0	1	2	1	1	1	0	0	
1355	399	119	1104	279	105	111	163	166	93	61	111	316	154	231	122	29	29	35	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	4	2	5	3	1	1	1	3	2	0	1	3	1	0	4	0	0	0	
169	46	9	69	18	10	9	19	15	10	5	6	10	24	13	6	4	4	5	
144	48	7	142	32	10	13	20	15	8	9	12	37	12	23	20	1	0	2	
972	291	97	836	215	78	78	119	123	71	44	88	263	117	191	86	23	24	27	
21	2	3	16	4	0	2	2	4	0	1	3	0	0	1	2	0	0	1	
12	4	0	10	3	4	6	1	6	1	1	1	1	0	0	3	0	1	0	
13	1	1	21	4	1	0	1	0	1	1	0	1	0	2	1	1	0	0	
6	3	0	5	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	
