"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	
1065	1149	747	467	2143	1776	719	767	978	821	386	890	1439	123	231	685	463	248	374	440	901	1356	816	853	344	239	1098	93	1210	156	599	381	134	1504	
1000	1100	700	400	2050	1700	700	700	900	700	350	800	1457	164	250	700	460	250	350	400	800	1200	800	800	330	210	1000	90	1200	150	600	400	132	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
593	633	441	256	1264	968	391	449	506	443	238	557	870	98	199	566	328	232	264	304	576	789	486	501	208	111	764	60	704	105	439	265	113	788	
9	52	19	13	35	40	11	55	12	23	12	27	7	4	6	28	35	16	16	16	15	42	46	25	8	16	28	2	44	4	32	19	0	29	
398	415	240	131	751	692	298	196	382	234	100	216	580	62	45	106	97	2	70	80	209	369	268	274	114	83	208	28	452	41	129	116	19	483	
9	35	19	13	35	40	11	55	12	23	12	27	7	4	6	28	35	16	16	16	15	42	46	25	8	16	28	2	44	4	32	19	0	29	
593	628	441	256	1264	968	391	449	506	443	238	557	870	98	199	566	327	232	264	304	576	789	486	501	208	111	764	60	704	105	439	265	113	788	
7	20	2	0	15	12	10	7	14	0	7	5	16	3	3	11	9	6	7	8	14	10	3	2	2	5	11	0	13	1	8	5	6	4	
595	643	458	269	1284	996	392	497	504	466	243	579	861	99	202	583	353	242	273	312	577	821	529	524	214	122	781	62	735	108	463	279	107	813	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	5	3	3	6	4	2	2	0	0	4	3	0	2	8	0	1	1	0	2	4	5	1	0	0	1	0	3	1	5	3	1	6	
183	170	131	78	320	227	107	158	149	9	28	143	311	33	66	201	118	62	29	77	178	267	137	143	61	24	216	12	249	23	165	100	39	251	
22	42	24	15	54	41	21	13	10	2	9	4	51	2	7	17	25	6	2	12	9	8	43	18	14	7	16	3	20	2	10	1	1	22	
370	406	284	167	859	687	249	298	330	455	202	409	466	62	120	330	204	167	236	214	371	517	324	341	132	90	540	47	436	81	273	168	64	515	
3	12	3	4	20	11	2	15	6	0	3	9	16	0	2	7	3	3	2	6	10	11	3	9	3	0	2	0	10	1	7	3	2	9	
8	8	4	1	18	13	6	6	6	0	0	9	3	1	4	13	1	1	1	1	2	10	11	7	2	1	3	0	14	0	2	4	0	2	
2	3	3	1	7	3	0	1	0	0	1	1	6	0	0	4	0	0	0	2	4	3	5	4	2	0	2	0	1	0	1	0	0	4	
1	1	4	0	3	8	3	4	1	0	0	0	5	1	1	3	2	2	2	0	1	1	1	1	0	0	1	0	2	0	0	0	0	4	
