"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	
1612	1484	962	915	1144	1142	1198	1289	1219	762	1145	1098	821	1055	854	381	213	272	442	269	224	828	376	261	210	152	396	192	120	249	237	405	456	235	312	368	596	852	214	199	550	270	608	325	458	378	436	741	344	597	445	332	
1600	1500	1050	950	1150	1150	1200	1250	1250	1200	1300	1100	900	1100	1000	400	230	270	450	300	250	900	400	270	230	170	450	220	150	280	350	450	500	280	300	400	600	960	250	220	650	300	700	400	500	400	450	800	350	700	530	380	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
842	739	460	442	658	551	659	662	674	719	700	578	399	515	509	249	157	159	357	175	115	490	238	175	127	108	258	144	34	159	165	241	271	151	185	224	282	761	146	145	366	176	347	176	308	289	243	386	242	289	230	213	
33	87	128	100	57	29	47	80	112	43	66	94	75	116	139	16	12	25	35	19	34	52	32	21	43	23	55	14	46	40	72	50	50	64	42	86	106	24	32	14	60	55	50	71	69	34	50	92	75	84	95	65	
725	674	462	408	435	570	494	508	464	438	534	428	426	469	352	135	61	86	58	106	101	358	130	74	60	39	137	62	70	81	113	159	179	65	73	90	212	175	72	61	224	69	303	153	123	77	157	322	33	327	205	102	
33	87	128	100	57	29	47	80	112	43	66	94	75	116	139	16	12	25	35	19	34	52	32	21	43	23	55	14	46	40	72	50	50	64	42	86	106	24	32	14	60	55	50	71	69	34	50	92	75	84	95	65	
842	739	460	442	658	551	659	662	674	719	700	578	399	515	509	249	157	159	357	175	115	490	238	175	127	108	258	144	34	159	165	241	271	151	185	224	282	761	146	145	366	176	347	176	308	289	243	386	242	289	230	213	
5	13	8	2	3	6	4	50	12	4	7	6	5	0	4	1	0	2	0	1	0	7	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	20	2	0	0	4	2	1	0	0	0	1	0	0	1	0	
870	813	580	540	712	574	702	692	774	758	759	666	469	631	644	264	169	182	392	193	149	535	270	196	168	131	313	158	80	199	236	291	321	215	227	310	386	765	176	159	426	227	395	246	377	323	293	477	317	373	324	278	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	3	1	2	6	6	8	2	6	4	3	5	6	7	1	0	1	3	0	1	2	4	1	2	0	0	0	0	2	2	1	3	0	0	0	2	4	0	0	9	0	4	0	3	6	1	5	0	4	5	0	
212	23	100	39	161	128	114	132	117	94	176	134	92	135	153	36	33	14	43	28	19	104	25	55	12	17	31	10	1	15	27	38	20	45	26	24	47	99	48	11	46	38	60	30	38	35	45	80	38	37	48	22	
56	57	45	38	48	45	43	55	54	53	50	65	35	64	62	32	18	19	38	12	12	24	8	13	23	6	10	9	4	13	15	25	22	6	3	8	18	59	11	18	33	5	37	12	24	11	25	42	17	26	27	15	
577	693	417	457	481	387	527	484	590	591	510	448	328	413	403	186	117	147	301	147	114	396	230	124	127	107	266	135	73	166	183	223	271	164	197	278	311	587	115	125	326	175	284	199	309	268	220	340	262	298	239	240	
5	8	7	0	7	2	4	2	4	5	3	2	2	5	5	4	0	0	3	3	3	4	0	2	1	0	0	4	1	1	2	4	0	0	0	0	2	2	0	2	1	6	2	3	0	0	0	4	0	3	2	1	
9	9	3	3	13	5	7	5	0	3	7	10	2	5	8	3	1	1	3	3	0	4	0	1	3	0	4	0	1	2	5	0	4	0	1	0	5	9	2	2	7	2	4	1	3	1	0	3	0	1	3	0	
5	2	4	1	0	1	1	5	6	1	5	1	3	3	3	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	3	0	1	1	0	1	1	0	1	2	3	0	0	0	0	
1	13	1	1	0	0	0	1	1	5	4	3	2	0	3	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	3	1	3	0	0	1	0	0	0	4	0	0	
