"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	
1133	999	1217	1197	1153	1071	982	1097	1158	1243	1088	1200	1168	954	772	1136	970	
1100	1000	1100	1100	1100	1000	1000	1100	1200	1100	1100	1200	1200	900	800	1100	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
709	506	874	787	750	877	731	559	447	856	636	762	808	587	518	687	619	
93	221	95	96	102	97	81	389	265	114	121	143	81	57	100	117	118	
298	273	131	217	248	26	188	152	488	130	343	295	311	256	182	296	263	
93	221	95	96	102	97	81	389	265	114	121	143	81	57	100	117	117	
709	506	874	787	750	877	731	559	447	856	636	762	808	587	518	687	618	
10	15	22	7	10	2	8	9	3	9	10	11	13	7	8	18	10	
792	712	947	876	842	972	804	939	709	961	747	894	876	637	610	786	725	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	4	8	10	1	2	8	4	3	2	10	6	7	7	5	4	
89	67	98	108	96	82	99	75	48	130	83	111	92	79	79	71	80	
80	61	64	65	55	42	90	70	55	61	56	66	56	64	48	60	61	
606	559	746	667	643	819	582	763	584	748	587	686	702	473	463	638	566	
2	7	12	11	13	7	8	5	6	6	5	5	6	2	9	6	4	
6	8	10	8	6	3	7	8	7	8	5	6	7	4	2	0	2	
2	6	9	4	10	7	9	4	4	3	5	5	4	2	1	5	6	
1	3	4	5	9	11	7	6	1	2	4	5	3	6	1	1	2	
