"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	
300	139	299	856	889	816	573	290	832	766	329	365	630	121	381	178	89	862	397	390	734	199	470	342	349	336	336	237	152	177	80	179	449	258	203	94	125	
280	131	288	804	849	770	510	275	780	725	310	345	595	160	360	175	85	810	380	370	700	190	430	330	330	320	320	225	140	170	75	170	430	240	190	90	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
249	117	253	660	641	683	437	235	690	642	280	306	508	106	299	134	65	653	322	317	582	129	393	279	253	261	276	195	127	133	64	144	371	203	167	70	101	
22	10	23	81	61	77	68	24	52	46	23	28	57	5	58	30	12	81	38	34	43	49	23	29	61	46	29	20	10	32	7	20	41	37	16	17	13	
9	4	12	63	147	10	5	16	38	37	7	11	30	49	3	11	8	76	20	19	75	12	14	22	16	13	15	10	3	5	4	6	18	0	7	3	6	
22	10	23	81	61	77	68	24	52	46	23	28	57	5	58	30	12	81	38	34	43	49	23	29	61	46	29	20	10	32	7	20	41	37	16	17	13	
249	117	253	660	641	683	437	235	690	642	280	306	508	106	299	134	65	652	322	317	582	129	393	279	253	261	276	195	127	133	64	144	371	203	167	70	101	
1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270	127	276	735	702	760	505	259	742	688	303	334	565	111	357	164	77	733	359	351	619	178	416	308	314	307	305	215	137	165	71	164	412	240	183	87	114	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	2	2	0	1	0	1	1	1	1	0	0	0	0	0	0	6	1	0	0	0	0	1	1	1	0	1	0	0	2	0	0	0	0	
18	4	7	42	17	28	20	13	15	22	5	17	22	6	6	4	3	18	5	9	42	11	5	21	10	8	7	5	5	5	2	6	4	8	8	0	3	
4	5	3	23	15	15	11	10	13	25	12	6	35	3	7	5	2	23	8	13	39	5	9	4	12	17	12	6	5	8	4	4	4	4	4	1	7	
242	117	265	662	656	703	469	230	709	636	281	305	498	101	342	154	68	687	343	312	529	162	398	283	287	278	278	201	126	148	64	154	400	226	170	85	104	
3	0	1	3	3	3	0	1	1	1	1	1	5	1	1	0	2	1	1	1	2	0	1	0	0	1	3	1	0	2	0	0	0	1	0	1	0	
1	1	0	3	5	3	5	4	2	3	2	1	2	0	1	1	2	1	2	2	5	0	2	0	1	2	2	1	0	1	0	0	1	1	0	0	0	
0	0	0	1	3	4	0	0	2	0	1	2	1	0	0	0	0	2	0	2	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	
2	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	0	6	0	0	1	0	3	0	1	0	0	0	0	0	1	0	1	0	0	
