"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	"УИК №1572"	"УИК №1573"	"УИК №1574"	"УИК №1575"	"УИК №1576"	"УИК №2864"	"УИК №3573"	"УИК №3607"	"УИК №3608"	"УИК №3825"	"УИК №3826"	"УИК №3827"	"УИК №3828"	"УИК №3829"	"УИК №3830"	"УИК №3831"	"УИК №3832"	"УИК №3833"	"УИК №3834"	"УИК №3835"	"УИК №3836"	"УИК №3837"	"УИК №3838"	"УИК №3839"	"УИК №3840"	"УИК №3841"	"УИК №3842"	"УИК №3843"	"УИК №3844"	"УИК №3845"	"УИК №3846"	"УИК №3847"	"УИК №3848"	"УИК №3849"	"УИК №3850"	"УИК №3851"	"УИК №3852"	"УИК №4224"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	3	7	7	5	1	9	5	7	7	5	5	7	2	5	11	5	1	11	9	6	14	10	14	15	14	4	10	2	10	5	6	12	10	10	4	5	6	5	10	9	9	9	7	2	1	13	1	7	9	6	3	9	18	8	1	16	10	2	5	7	2	12	9	3	5	9	11	6	6	7	10	4	7	3	7	5	6	5	7	9	1	3	4	2	3	7	2	8	4	8	6	6	14	3	6	2	3	7	2	6	4	6	3	4	2	2	4	0	5	13	5	7	2	6	4	3	2	10	7	4	4	4	4	10	9	7	9	12	3	6	8	3	4	10	7	4	4	5	7	8	6	7	10	8	5	6	2	7	3	7	7	6	6	6	5	4	9	5	11	4	3	1	
82	129	91	37	120	82	110	96	70	147	67	64	85	125	72	133	154	175	104	127	146	82	114	140	142	164	189	132	129	123	135	193	134	108	141	189	147	152	146	85	138	111	110	84	108	106	22	142	20	104	139	99	88	97	88	88	81	62	149	93	99	153	103	142	86	142	96	116	119	113	128	100	94	75	197	257	107	104	105	134	153	120	49	81	113	93	91	78	62	96	99	120	78	84	94	63	84	92	93	82	61	75	66	74	56	52	57	44	68	28	86	70	119	89	102	76	116	72	91	70	100	120	63	101	103	154	87	93	113	98	364	186	120	108	167	108	129	95	77	102	155	113	72	97	65	86	113	37	115	93	94	144	228	299	143	102	104	71	87	102	109	113	303	18	
35	26	31	16	26	23	49	42	40	99	33	37	32	41	54	53	52	44	54	39	32	32	31	38	48	48	47	40	32	103	49	44	38	53	72	134	103	57	59	40	57	42	61	31	40	64	25	68	7	30	54	46	24	72	46	43	47	69	57	37	38	34	72	73	65	82	39	47	49	49	44	21	46	41	129	207	167	37	174	52	51	47	20	24	39	32	20	45	30	34	22	39	44	35	44	31	31	29	48	36	37	33	37	51	26	32	30	13	33	20	35	45	51	57	36	33	66	26	34	32	34	56	29	60	33	60	41	31	36	28	39	59	109	49	34	41	40	25	34	39	54	42	30	45	30	49	54	27	47	85	53	45	100	101	52	41	115	31	36	60	34	40	45	17	
1027	1030	709	669	626	711	934	761	854	1092	669	501	807	812	724	821	731	1126	1128	949	1238	685	672	847	898	835	947	864	927	832	913	730	880	947	950	997	916	1070	631	473	783	505	759	856	742	608	741	715	122	846	939	784	751	1024	721	613	514	792	818	648	801	680	839	756	662	794	749	736	744	752	819	661	700	1019	1294	1230	671	724	750	778	704	558	320	325	567	478	530	497	578	446	436	601	591	441	422	440	478	398	656	543	506	504	452	681	451	352	316	278	643	176	488	540	654	552	810	568	754	423	495	422	586	733	397	646	1029	899	563	501	578	583	1029	1240	904	1194	709	704	718	522	645	664	1057	741	557	800	708	764	653	904	797	978	919	1187	1596	1302	941	693	752	422	688	625	547	496	816	117	
15	49	15	10	32	11	2	14	10	36	19	30	10	23	15	20	25	11	23	38	31	17	14	17	33	29	27	29	12	15	32	34	24	27	20	13	18	25	31	13	26	13	22	12	16	7	6	25	4	13	50	14	9	32	18	18	21	8	33	27	23	21	6	21	21	12	11	25	28	21	15	16	21	3	37	38	18	21	17	12	25	18	7	7	19	7	10	15	4	11	12	27	20	12	11	8	25	26	19	19	11	18	13	11	14	5	13	12	8	1	26	17	33	5	10	19	12	12	13	11	17	16	5	19	9	28	11	9	23	26	31	61	7	17	35	35	27	11	24	17	30	18	15	31	14	17	16	11	25	11	17	39	37	102	39	14	21	14	10	17	19	12	30	4	
2	10	8	4	10	7	1	7	15	4	3	6	6	6	5	4	6	3	4	9	4	6	5	8	7	3	12	3	4	4	8	9	5	7	5	5	7	9	7	4	2	8	6	5	7	2	4	12	3	5	9	5	2	11	5	2	4	10	22	4	4	11	4	13	3	4	7	6	3	8	8	9	6	3	7	2	6	3	2	1	7	7	1	4	8	6	5	4	2	1	4	5	7	2	5	6	4	6	2	2	5	6	3	5	0	4	4	2	4	1	4	6	4	2	5	6	6	20	2	4	2	6	1	7	2	7	7	5	2	10	6	6	2	0	7	8	7	6	3	6	11	1	2	5	4	6	4	5	3	1	1	13	6	14	4	3	16	4	5	4	9	4	1	1	
12	29	2	3	4	5	0	8	6	12	11	7	13	8	6	10	10	4	15	12	13	7	19	5	13	11	16	8	20	2	12	12	11	7	17	3	4	8	13	4	3	12	6	7	2	2	10	10	2	7	9	12	2	10	5	7	10	9	10	8	11	8	8	13	14	2	5	10	15	3	11	6	3	8	16	19	6	4	5	9	8	6	0	2	6	5	7	6	3	11	5	10	4	5	6	1	6	8	6	9	4	8	5	4	3	5	4	1	6	0	12	7	13	13	8	10	9	6	11	5	8	15	6	6	9	11	8	5	7	14	13	21	1	3	10	13	15	12	4	4	6	8	2	11	4	5	6	5	15	9	6	17	21	35	19	9	10	9	7	7	4	8	10	0	
17	31	14	9	12	15	2	18	5	29	14	12	16	21	8	23	10	10	15	29	18	22	14	19	25	19	21	38	14	24	24	19	15	12	17	10	10	20	6	13	21	8	10	9	17	7	8	28	2	10	18	18	14	17	11	13	14	22	24	13	13	18	7	17	9	9	20	17	14	25	18	17	16	16	19	25	110	5	5	5	13	5	2	8	13	5	2	6	6	18	7	20	12	9	5	3	11	12	9	17	7	9	9	9	7	16	7	9	10	5	25	17	9	14	21	4	18	11	12	6	10	14	6	11	9	21	15	18	9	6	9	34	7	10	16	23	18	15	7	12	16	13	11	20	6	8	9	9	11	16	6	17	22	35	16	8	21	7	12	8	9	11	9	0	
