"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	
801	326	337	392	143	177	1927	138	265	317	374	1326	313	140	503	486	766	232	334	413	2135	985	2811	1079	1379	1491	1075	1141	1083	1394	308	1080	256	1819	2369	1126	673	739	1737	168	88	1153	222	383	609	223	179	212	230	198	171	1464	238	1553	1060	1891	1210	820	340	432	207	181	
800	300	300	350	150	170	1800	130	250	300	350	1200	300	130	500	450	700	200	300	400	2000	900	2600	1000	1100	1200	1000	1000	1000	1300	300	1000	250	1600	2000	1000	600	750	1500	150	90	1000	200	350	600	200	180	200	200	200	170	1300	220	1300	1000	1600	1000	800	300	400	200	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
504	178	128	180	81	85	1073	82	168	210	203	709	160	106	248	264	491	165	201	232	1298	512	1582	640	771	859	598	684	620	843	168	684	207	1159	1512	739	336	346	890	92	72	762	132	239	322	163	122	137	150	150	131	912	163	760	534	942	558	630	180	260	138	138	
60	13	36	44	4	18	135	4	38	28	41	92	21	3	7	13	16	6	15	19	70	43	91	56	30	53	36	37	40	35	12	26	27	27	20	4	104	38	128	3	0	84	20	27	60	17	4	30	23	7	9	107	17	67	38	59	73	126	59	50	29	28	
236	109	136	126	65	67	592	44	44	62	106	399	119	21	245	173	193	29	84	149	632	345	927	304	299	288	366	279	340	422	120	290	16	414	468	257	160	366	482	55	18	154	48	84	218	20	54	33	27	43	30	281	40	473	428	599	369	44	61	90	33	4	
60	13	36	44	4	18	135	4	38	28	41	92	21	3	7	13	16	6	15	19	70	43	91	56	30	53	36	37	40	35	12	26	27	27	20	4	104	38	128	3	0	84	20	27	60	17	4	30	23	7	9	107	17	67	38	59	73	126	59	50	29	28	
504	178	128	180	81	85	1073	82	168	210	203	709	160	106	248	264	491	165	201	232	1298	512	1582	640	771	859	598	684	620	843	168	684	207	1159	1512	739	336	346	890	92	72	762	132	239	322	163	122	137	150	150	131	912	163	760	534	942	558	630	180	260	138	138	
6	5	1	3	0	0	9	0	2	1	3	13	1	0	2	1	7	0	3	4	17	2	26	6	4	9	8	7	6	9	0	3	3	6	8	4	2	4	15	0	0	8	2	4	1	2	0	0	3	0	0	8	0	10	8	13	5	1	2	2	0	0	
558	186	163	221	85	103	1199	86	204	237	241	788	180	109	253	276	500	171	213	247	1351	553	1647	690	797	903	626	714	654	869	180	707	231	1180	1524	739	438	380	1003	95	72	838	150	262	381	178	126	167	170	157	140	1011	180	817	564	988	626	755	237	308	167	166	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	0	0	0	1	8	0	0	1	0	3	1	0	4	1	1	1	4	1	13	8	8	7	5	5	3	10	6	9	0	9	0	7	16	8	4	0	4	2	2	2	0	0	3	0	0	0	2	0	0	3	2	5	5	7	6	1	1	1	1	0	
76	12	30	23	2	15	160	11	10	21	37	164	25	12	39	18	77	24	29	48	258	93	299	111	131	179	107	139	139	158	36	109	18	241	239	131	67	46	178	18	8	42	12	17	31	1	5	11	27	9	15	140	10	113	101	136	81	79	33	25	11	3	
36	18	9	25	7	8	51	2	4	16	20	47	12	4	27	30	19	12	15	15	82	26	112	35	73	40	48	55	31	38	6	44	8	68	141	26	23	24	67	13	4	55	13	7	15	6	6	7	4	8	3	61	10	54	61	66	50	30	13	15	8	9	
434	151	120	168	72	77	956	70	187	193	179	549	138	93	180	222	396	132	161	179	948	408	1183	521	567	644	452	480	465	633	135	517	200	814	1079	556	330	302	735	62	57	729	125	236	327	170	114	143	130	137	121	790	155	630	380	760	477	636	183	267	144	149	
1	2	2	2	2	0	4	2	1	2	1	6	0	0	2	2	3	1	2	1	16	2	12	5	7	13	5	10	7	9	0	8	3	11	22	5	7	1	7	0	1	5	0	0	1	1	0	2	4	0	0	4	0	5	6	2	2	2	4	0	2	1	
3	1	1	1	0	0	17	1	2	4	2	13	3	0	0	3	2	1	1	3	16	10	14	3	11	10	2	9	3	10	2	10	2	15	16	4	3	3	9	0	0	4	0	1	4	0	1	2	1	2	0	7	3	6	6	9	9	1	1	0	0	1	
5	1	0	2	2	2	2	0	0	0	2	3	1	0	1	0	2	0	0	0	11	4	10	4	2	10	6	4	3	7	1	10	0	9	6	6	0	3	2	0	0	1	0	1	0	0	0	2	2	1	1	4	0	2	2	6	1	5	2	0	0	1	
1	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	7	2	9	4	1	2	3	7	0	5	0	0	0	15	5	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	2	0	1	0	0	1	2	
