"УИК №5401"	"УИК №5402"	"УИК №5403"	"УИК №5404"	"УИК №5405"	"УИК №5406"	"УИК №5407"	"УИК №5408"	"УИК №5409"	"УИК №5410"	"УИК №5411"	"УИК №5412"	"УИК №5414"	"УИК №5416"	"УИК №5417"	"УИК №5418"	"УИК №5419"	"УИК №5420"	"УИК №5421"	"УИК №5422"	"УИК №5423"	"УИК №5424"	"УИК №5425"	
2256	571	868	99	131	349	385	550	166	228	433	387	660	638	252	155	177	262	1052	945	1133	1127	552	
1950	550	800	90	150	350	350	470	170	200	400	350	650	550	250	160	200	260	1000	800	1000	1000	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1266	206	437	40	66	163	116	322	102	66	178	149	304	262	90	84	87	134	613	517	457	585	220	
290	309	227	42	56	138	174	135	56	123	202	182	246	286	117	58	67	67	125	189	162	314	176	
394	35	136	8	28	49	60	13	12	11	20	19	100	2	43	18	46	59	262	94	381	101	54	
290	309	227	42	56	138	174	135	56	123	202	182	246	286	117	58	67	67	125	189	162	314	176	
1266	206	437	40	66	163	116	322	102	66	178	149	304	262	90	84	87	134	613	515	457	585	220	
12	4	2	0	0	3	6	3	1	2	7	1	4	11	1	3	3	3	6	4	8	6	2	
1544	511	662	82	122	298	284	454	157	187	373	330	546	537	206	139	151	198	732	700	611	893	394	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	5	10	1	1	2	3	3	1	1	2	3	8	12	2	2	1	1	4	9	1	5	2	
240	62	126	8	14	23	22	36	16	5	28	20	49	45	12	6	10	8	77	77	56	76	24	
132	53	63	9	23	39	28	52	17	15	38	41	60	69	23	15	11	16	56	65	58	58	20	
1109	381	437	63	81	229	222	359	119	164	293	260	410	393	166	115	128	169	574	522	470	734	340	
14	3	7	0	0	0	5	3	3	2	4	4	10	9	1	1	0	2	7	8	6	6	4	
12	5	5	0	2	4	3	1	1	0	2	0	6	2	1	0	0	1	5	5	9	6	0	
9	1	6	1	1	0	0	0	0	0	4	2	2	5	0	0	1	1	4	8	5	3	1	
10	1	8	0	0	1	1	0	0	0	2	0	1	2	1	0	0	0	5	6	6	5	3	
