"УИК №2477"	"УИК №2478"	"УИК №2479"	"УИК №2480"	"УИК №2481"	"УИК №2482"	"УИК №2483"	"УИК №2484"	"УИК №2485"	"УИК №2486"	"УИК №2487"	"УИК №2488"	"УИК №2489"	"УИК №2490"	"УИК №2491"	"УИК №2492"	"УИК №2493"	"УИК №2494"	"УИК №2495"	"УИК №2496"	"УИК №2497"	"УИК №2498"	"УИК №2499"	"УИК №2500"	"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	"УИК №2526"	"УИК №2527"	"УИК №2528"	"УИК №2529"	"УИК №2530"	"УИК №2531"	"УИК №2532"	"УИК №2533"	"УИК №2534"	"УИК №2535"	"УИК №2536"	"УИК №2537"	"УИК №2538"	"УИК №2539"	"УИК №2540"	"УИК №2541"	"УИК №2542"	"УИК №2543"	"УИК №2544"	"УИК №2545"	"УИК №2546"	"УИК №2547"	"УИК №2548"	"УИК №2549"	"УИК №2550"	"УИК №2551"	"УИК №2552"	"УИК №2553"	"УИК №2554"	"УИК №2555"	"УИК №2556"	"УИК №2557"	"УИК №2558"	"УИК №2559"	"УИК №2560"	"УИК №2561"	"УИК №2562"	"УИК №2563"	"УИК №2564"	"УИК №2565"	"УИК №2566"	"УИК №2567"	"УИК №2568"	"УИК №2569"	"УИК №2570"	"УИК №2571"	"УИК №2572"	"УИК №2573"	"УИК №2574"	"УИК №2575"	"УИК №2576"	"УИК №2577"	"УИК №2578"	"УИК №2579"	"УИК №2580"	"УИК №2582"	
2513	2172	2025	1760	1473	1232	1798	1656	2171	1537	2028	1842	1341	1230	1423	1445	1578	2326	1709	1318	1093	1531	1231	1268	2170	1509	1346	2503	2369	1891	1061	1378	1579	2249	1935	1955	2112	1458	1604	1834	1097	1395	1911	1894	1622	1462	2253	2047	1265	1678	1394	1922	1226	1593	1094	1873	1400	1291	1733	1341	2182	1698	2427	1708	1473	1678	2201	1268	1420	1753	1648	1630	1959	1387	1397	1936	1037	1297	895	1440	1854	1882	955	2622	2997	1554	1838	2562	1387	1246	1932	1058	1560	1092	1969	2702	2091	1922	1946	1791	1460	109	148	570	352	
2000	1800	1650	1400	1150	1000	1450	1300	1750	1200	1600	1550	1000	1000	1100	1150	1200	1800	1300	1000	850	1200	1000	1000	1750	1200	1050	1950	1850	1500	850	1100	1250	1750	1550	1550	1700	1200	1300	1450	850	1100	1600	1550	1300	1150	1800	1600	1000	1400	1150	1550	950	1250	800	1500	1150	1050	1350	1050	1750	1350	1950	1350	1150	1350	1800	1050	1050	1300	1350	1300	1600	1100	1100	1500	850	1000	750	1150	1500	1500	750	2050	2300	1300	1500	2000	1150	1000	1600	850	1250	900	1550	2100	1650	1550	1550	1450	1150	109	147	570	352	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1206	1004	1052	660	739	532	767	866	964	828	1141	970	646	674	764	731	810	1059	793	719	533	731	628	560	1111	702	623	1080	1145	836	414	544	512	956	901	918	990	639	921	703	457	493	822	713	956	572	1172	1012	532	639	614	1056	541	837	498	808	655	640	965	491	1032	787	1077	851	756	720	1141	523	726	782	513	672	761	639	703	744	370	405	403	669	598	808	444	1247	1344	850	892	1046	710	466	781	514	679	500	1025	1276	1116	943	951	1062	846	109	145	362	352	
105	68	43	76	29	139	149	57	90	45	54	66	41	35	23	58	83	65	61	49	87	61	25	75	53	69	45	99	124	122	148	93	80	48	52	33	40	92	68	100	64	98	96	121	86	79	57	68	50	54	40	62	53	37	94	61	69	68	33	56	73	56	69	50	114	70	164	106	101	101	181	166	124	134	32	95	63	87	15	46	70	131	80	104	75	71	153	145	38	93	62	58	112	62	84	53	60	59	50	43	17	0	0	208	0	
689	728	555	664	382	329	534	377	696	327	405	514	313	291	313	361	307	676	446	232	230	408	347	365	586	429	382	771	581	542	288	463	658	746	597	599	670	469	311	647	329	509	682	716	258	499	571	519	418	707	496	432	356	376	208	631	426	342	352	503	645	507	804	449	280	560	495	420	223	417	656	462	715	327	365	661	417	508	332	435	832	561	226	699	881	379	455	809	402	441	757	278	459	338	441	771	474	548	549	345	287	0	2	0	0	
105	68	43	76	29	139	149	57	90	45	54	66	41	35	23	58	83	65	61	49	87	61	25	75	53	69	45	99	124	122	148	93	80	48	52	33	40	92	68	100	64	98	96	121	86	79	57	68	50	54	40	62	53	37	94	61	69	68	33	56	73	56	69	50	114	70	164	106	101	101	181	166	124	134	32	95	63	87	15	46	70	131	80	104	75	71	153	145	38	93	62	58	112	62	84	53	60	59	50	43	17	0	0	208	0	
1205	1004	1052	660	739	532	767	866	964	828	1141	970	646	674	764	731	810	1059	793	719	533	731	628	560	1111	702	623	1080	1145	836	414	544	512	956	901	918	990	639	921	703	457	493	822	712	956	572	1172	1012	532	639	614	1056	541	837	498	808	655	640	965	491	1032	787	1076	851	752	719	1141	523	726	782	513	672	761	639	703	744	370	405	403	669	598	808	444	1247	1344	850	892	1046	710	466	781	514	679	500	1025	1276	1116	943	951	1062	846	109	145	362	352	
16	8	10	15	12	4	9	5	0	6	14	11	6	4	9	7	14	13	12	6	8	9	11	8	17	10	6	15	9	10	0	9	11	5	4	5	9	5	9	10	0	7	12	14	13	4	8	14	9	13	9	9	5	9	4	7	7	6	15	1	14	16	15	10	10	9	14	6	6	9	7	10	9	10	9	7	4	7	2	10	3	11	2	13	24	16	14	18	6	5	4	4	6	10	11	19	12	14	14	10	7	0	2	7	24	
1294	1064	1085	721	756	667	907	918	1054	867	1181	1025	681	705	778	782	879	1111	842	762	612	783	642	627	1147	761	662	1164	1260	948	562	628	581	999	949	946	1021	726	980	793	521	584	906	819	1029	647	1221	1066	573	680	645	1109	589	865	588	862	717	702	983	546	1091	827	1130	891	856	780	1291	623	821	874	687	828	876	763	726	832	429	485	416	705	665	928	522	1338	1395	905	1031	1173	742	554	839	568	785	552	1098	1310	1164	988	987	1095	856	109	143	563	328	
