"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	
87	175	85	184	216	906	781	374	370	229	629	555	470	355	139	444	185	138	241	216	938	181	
70	125	80	135	155	650	570	340	275	225	595	400	340	280	105	335	155	120	215	170	945	184	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	
58	74	66	102	124	512	441	239	191	127	422	255	266	164	74	215	128	75	176	94	840	172	
5	7	3	11	27	31	30	7	27	22	14	37	28	35	18	21	5	2	14	18	0	0	
7	44	11	22	4	107	99	94	57	76	159	108	46	81	13	99	22	17	25	58	105	12	
5	7	3	11	27	31	30	7	27	22	14	37	28	35	18	21	5	28	14	18	0	0	
58	74	66	102	124	512	441	239	191	127	422	255	266	164	74	215	128	75	176	94	840	172	
0	0	0	2	1	11	8	2	2	2	11	4	8	3	1	5	1	3	0	0	15	3	
63	81	69	111	150	532	463	244	216	147	425	288	286	196	91	231	132	100	190	112	825	169	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	1	0	5	3	3	2	2	3	5	3	3	0	0	0	1	0	0	2	0	
0	7	0	12	15	68	73	58	11	20	63	29	20	3	1	8	0	11	42	8	176	15	
6	16	12	17	17	80	57	23	40	26	54	24	32	20	15	22	8	12	12	16	162	40	
57	54	55	79	117	363	327	158	155	94	295	224	223	167	75	198	124	73	133	87	456	112	
0	2	0	1	0	8	1	1	2	0	5	0	2	3	0	3	0	1	1	0	15	0	
0	1	0	1	0	5	2	1	4	1	1	5	5	0	0	0	0	1	2	0	5	0	
0	1	0	0	1	2	0	0	2	3	1	1	1	0	0	0	0	1	0	1	4	1	
0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	5	1	
