"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	
681	438	274	1013	273	277	337	1517	1417	647	620	909	923	905	182	138	258	208	501	410	191	401	529	366	128	667	416	299	680	
690	450	280	1020	270	280	340	1530	1400	610	620	930	930	900	185	130	255	215	510	415	195	400	540	365	110	685	415	300	690	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
567	332	206	635	229	231	281	1125	985	547	476	647	517	541	140	102	215	162	369	335	167	297	415	301	96	555	356	242	532	
59	62	26	172	29	25	20	154	178	35	69	92	178	139	24	23	28	29	91	48	24	41	44	41	14	48	42	31	70	
64	56	48	213	12	24	39	251	237	28	75	191	235	220	21	5	12	24	50	32	4	62	81	23	0	82	17	27	88	
59	62	26	172	29	25	20	154	178	35	69	92	178	139	24	23	28	29	91	48	24	41	44	41	14	48	42	31	70	
567	332	206	635	229	231	281	1125	985	547	476	647	517	541	140	102	215	162	369	335	167	297	415	301	96	555	356	242	532	
0	0	0	2	1	2	1	5	7	3	2	0	0	5	2	0	2	10	0	0	2	3	0	2	0	0	0	2	6	
626	394	232	805	257	254	300	1274	1156	579	543	739	695	675	162	125	241	181	460	383	189	335	459	340	110	603	398	271	596	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	5	1	2	0	8	1	5	2	2	3	10	0	0	0	1	1	2	1	1	2	1	0	3	0	0	1	
18	7	3	22	7	5	17	26	65	16	11	7	44	64	10	3	7	7	45	20	3	66	12	9	4	13	10	8	18	
19	15	6	29	10	8	18	55	87	22	18	18	39	38	4	2	9	9	25	8	7	8	13	13	5	18	17	12	24	
582	369	219	739	239	237	263	1161	995	521	505	706	597	552	147	120	223	163	383	350	177	258	425	313	100	562	362	249	548	
3	1	1	2	0	0	0	14	1	6	1	5	5	4	1	0	1	1	3	2	0	0	2	3	1	1	4	1	3	
2	1	1	7	0	0	0	6	4	4	2	1	1	2	0	0	1	0	0	1	1	1	2	1	0	5	4	0	1	
0	0	1	0	0	1	1	3	0	2	1	0	4	2	0	0	0	0	3	0	0	1	2	0	0	1	1	0	0	
1	0	0	1	0	1	1	1	3	3	3	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	
