"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	
1667	1895	1870	1786	1691	1805	1986	1645	1791	1842	1964	1717	98	
1480	1640	1630	1550	1470	1560	1740	1450	1560	1600	1690	1490	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1131	1258	1451	1379	1120	1247	1576	1287	1420	1445	1557	1064	33	
23	42	52	73	32	43	51	50	37	50	40	86	65	
326	340	127	98	318	270	113	113	103	105	93	340	102	
23	42	52	73	32	43	51	50	37	50	40	86	65	
1131	1258	1451	1379	1120	1247	1576	1287	1420	1445	1557	1064	33	
6	13	3	10	17	17	15	28	7	13	31	10	0	
1148	1287	1500	1442	1135	1273	1612	1309	1450	1482	1566	1140	98	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	5	1	2	2	4	11	6	1	3	2	0	
21	33	18	24	28	29	22	27	25	34	26	26	1	
15	22	32	10	26	22	22	36	27	20	30	16	2	
1090	1204	1423	1394	1045	1180	1534	1164	1367	1403	1467	1068	87	
15	11	17	10	19	30	18	29	11	15	25	13	4	
3	3	0	1	3	2	5	16	2	3	4	6	0	
2	3	3	0	5	1	3	12	1	2	3	1	2	
2	7	2	2	7	7	4	14	11	4	8	8	2	
