"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	
1097	903	960	531	1046	1021	560	565	99	129	699	120	723	146	170	367	494	349	204	52	437	284	231	364	763	196	187	128	284	124	922	376	240	502	436	270	119	599	79	
1042	923	930	501	1064	1043	584	521	105	195	723	129	737	162	185	366	533	339	205	52	490	291	231	392	786	197	193	133	302	121	951	391	268	571	479	230	112	645	78	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
711	610	609	366	673	649	342	339	67	111	431	77	465	90	116	246	350	216	163	41	292	189	159	232	470	144	123	72	180	82	500	197	153	320	273	165	66	341	38	
26	49	34	10	20	30	53	76	9	18	35	11	48	4	6	11	28	22	0	4	35	13	19	41	65	7	9	10	20	9	76	56	19	40	38	20	5	51	5	
305	264	287	125	371	364	189	106	29	66	257	41	224	68	63	109	155	101	42	7	163	89	53	119	251	46	61	51	102	30	375	138	96	211	168	45	41	253	35	
26	49	34	10	20	30	53	76	9	18	35	11	48	4	6	11	28	22	0	4	35	13	19	41	65	7	9	10	20	9	76	56	19	40	38	20	5	51	5	
711	609	609	366	673	649	342	339	67	111	431	77	465	90	116	246	350	216	163	41	292	189	159	232	470	144	123	72	180	82	500	197	153	320	273	165	66	341	38	
7	16	8	6	7	3	3	1	0	2	2	1	4	1	1	1	2	3	0	0	3	5	1	3	7	0	0	0	2	0	6	5	0	5	8	0	2	2	2	
730	642	635	370	686	676	392	414	76	127	464	87	509	93	121	256	376	235	163	45	324	197	177	270	528	151	132	82	198	91	570	248	172	355	303	185	69	390	41	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	6	3	2	6	2	1	0	0	1	0	0	0	0	1	2	0	3	0	0	0	0	2	1	1	0	0	0	1	3	1	0	3	0	1	0	0	0	
132	118	119	81	139	115	68	83	14	16	113	8	86	7	17	15	89	78	8	4	62	19	33	23	83	16	21	8	22	22	87	31	38	37	26	37	9	68	3	
39	46	43	30	40	32	22	23	15	6	42	3	33	2	5	15	13	10	27	2	22	18	7	14	30	9	10	2	12	3	46	17	6	17	18	17	5	30	1	
540	464	447	250	485	511	293	304	47	104	297	76	378	80	96	224	250	144	120	38	239	156	134	223	407	124	98	71	158	64	417	195	126	287	252	128	54	278	36	
5	4	4	4	6	2	4	2	0	0	1	0	4	0	3	0	3	1	0	1	1	2	0	1	6	1	2	0	5	1	5	1	1	3	4	1	0	3	1	
10	5	8	2	10	7	1	0	0	1	4	0	3	3	0	0	5	1	3	0	0	1	2	2	0	0	0	0	1	0	8	1	1	4	2	1	1	8	0	
0	2	6	0	2	2	0	0	0	0	3	0	4	1	0	1	4	1	1	0	0	0	1	4	1	0	0	0	0	0	3	1	0	4	1	0	0	3	0	
0	3	2	0	2	1	2	1	0	0	3	0	1	0	0	0	10	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	
