"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	"УИК №2922"	"УИК №2923"	"УИК №2924"	"УИК №2925"	
944	861	880	837	892	280	145	189	107	242	186	432	271	112	283	295	249	547	190	301	86	872	822	379	86	
930	840	850	840	870	270	130	190	100	240	180	430	270	110	260	300	240	570	190	320	90	840	800	380	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
568	509	536	460	530	146	65	100	55	140	118	239	155	67	168	148	166	346	100	155	52	417	403	182	51	
34	25	46	23	31	23	24	23	7	7	13	38	8	4	11	28	19	19	15	43	2	63	97	41	4	
328	306	268	357	309	101	41	67	38	93	49	153	107	39	81	124	55	205	75	122	36	360	300	157	35	
34	25	46	23	31	23	24	23	7	7	13	38	8	4	11	28	19	19	15	43	2	63	97	41	4	
568	509	536	460	530	146	65	100	55	140	118	239	155	67	168	148	166	346	100	155	52	417	403	182	51	
10	5	8	9	13	0	0	2	0	0	2	1	2	4	3	3	1	3	2	2	0	7	8	0	0	
592	529	574	474	548	169	89	121	62	147	129	276	161	67	176	173	184	362	113	196	54	473	492	223	55	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	3	1	5	2	2	0	0	2	1	0	0	0	1	0	0	0	0	1	1	0	5	2	0	
105	89	89	72	93	23	9	9	7	18	24	34	22	8	9	15	26	36	12	15	3	64	58	32	3	
55	22	52	45	46	19	15	12	9	12	5	17	14	5	21	29	18	21	10	25	6	41	48	19	5	
413	405	411	346	392	121	60	97	46	113	98	220	122	53	144	124	138	299	91	152	43	352	370	165	46	
6	3	4	2	3	1	0	1	0	0	0	2	0	1	0	0	1	2	0	2	0	5	2	1	0	
2	5	9	3	5	1	3	1	0	2	1	2	2	0	1	4	0	2	0	1	0	7	3	2	1	
2	2	4	2	4	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	5	2	0	
2	2	2	3	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	4	1	0	0	
