"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №870"	
2121	2093	2059	755	1778	1240	301	173	909	245	565	1138	716	1755	2130	1756	2313	1915	1672	2189	2157	25	26	22	19	29	19	15	94	15	18	19	30	25	23	57	24	36	77	80	31	32	105	103	104	108	89	25	26	28	129	27	22	20	22	
2000	2000	2000	700	1800	1200	300	170	800	200	500	1000	700	1700	2000	1800	2000	1900	1700	2000	2000	25	26	24	19	29	19	18	98	18	21	19	30	25	23	60	27	36	77	80	31	32	110	106	104	108	92	25	26	28	132	30	22	23	25	
0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1340	1205	1155	312	1020	591	155	75	492	122	310	725	380	1009	1184	1005	1277	985	882	1308	1240	25	26	22	16	29	19	15	82	15	18	19	30	25	23	53	24	36	60	80	31	32	105	100	88	108	89	24	26	28	129	27	22	20	21	
40	40	33	8	20	80	10	20	30	8	28	28	22	19	61	34	41	29	33	31	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
620	755	812	380	760	515	135	75	278	70	162	247	298	672	755	761	682	886	785	661	719	0	0	2	3	0	0	3	16	3	3	0	0	0	0	7	3	0	17	0	0	0	5	6	16	0	3	1	0	0	3	3	0	3	4	
40	40	33	8	20	94	10	20	30	8	28	28	22	19	61	34	41	29	33	31	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1340	1205	1155	312	1020	591	155	75	492	122	310	725	380	1009	1184	1005	1276	985	882	1308	1239	25	26	22	16	29	19	15	82	15	18	19	30	25	23	53	24	36	60	80	31	32	105	100	88	105	89	24	26	28	129	27	22	20	21	
24	19	12	4	20	14	1	0	13	0	6	18	7	23	20	24	18	20	15	17	21	0	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	3	3	3	2	4	0	1	1	0	0	0	0	0	
1356	1226	1176	316	1020	671	164	95	509	130	332	735	395	1005	1225	1015	1299	994	900	1322	1259	25	22	22	16	29	19	15	81	14	18	19	30	25	23	52	24	36	60	80	31	32	102	97	85	103	85	24	25	27	129	27	22	20	21	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	23	21	2	1	5	1	0	6	0	1	3	3	5	8	4	4	11	2	7	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	
305	226	252	57	216	132	39	13	95	37	60	154	79	220	245	214	278	221	214	284	283	1	3	4	3	20	5	5	3	6	4	2	4	0	2	3	5	5	10	3	4	2	11	3	6	4	3	5	4	3	0	5	0	4	6	
124	110	130	54	112	90	32	14	59	14	46	108	44	110	136	130	137	102	116	149	115	14	3	6	4	2	2	5	14	2	6	4	12	4	2	10	5	10	18	30	13	25	23	14	18	32	21	5	6	7	1	2	4	3	8	
869	821	738	198	660	428	90	66	334	72	221	450	261	648	804	651	844	629	540	835	806	9	12	10	8	6	12	5	61	5	8	13	14	20	19	37	13	21	31	42	8	4	59	75	52	60	56	13	15	15	128	19	17	12	7	
14	8	13	3	9	5	1	1	2	0	2	7	2	7	9	4	14	14	10	17	17	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	4	0	4	4	5	2	2	0	0	1	0	1	1	0	0	
12	19	8	0	9	2	0	0	6	2	0	9	4	6	9	3	11	10	6	13	11	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	2	0	2	1	1	3	0	0	0	1	0	0	0	1	0	
8	5	6	0	7	5	1	1	4	2	1	0	1	3	10	4	6	2	4	7	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	
12	14	8	2	6	4	0	0	3	3	1	4	1	6	4	5	5	5	8	10	8	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	
