"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	
2256	2749	2146	1776	1414	1428	2365	2854	1557	2191	1805	2054	1224	1698	1190	2000	1885	2341	2275	2376	2215	1906	1926	1680	2202	1942	1887	1540	1910	1229	2926	2559	1637	1361	2323	2120	3116	402	202	293	36	48	79	
2000	2500	2000	1500	1200	1200	2100	2600	1300	2000	1500	2000	1100	1600	1000	1800	1700	2000	2000	2100	2000	1700	1700	1500	2000	1700	1600	1400	1700	1000	2700	2300	1500	1200	2100	2000	2700	380	195	312	37	48	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1408	1524	1304	1072	890	539	1143	1337	753	1147	1181	1080	688	961	738	1040	1044	1442	1258	1404	1293	1015	1185	910	1275	1209	1082	1064	965	527	1553	1270	851	647	1424	1325	1751	211	183	205	23	48	69	
26	32	26	21	11	11	34	38	21	24	13	38	12	7	11	20	44	21	40	39	31	9	22	24	27	27	50	28	25	52	49	30	14	12	20	16	13	13	0	88	0	0	5	
566	944	670	407	299	650	923	1225	526	829	306	882	400	632	251	740	612	537	702	657	676	676	493	566	698	464	468	308	710	421	1098	1000	635	541	656	659	936	156	12	19	14	0	16	
26	32	26	21	11	11	34	37	21	24	13	38	12	7	11	20	44	21	40	39	31	9	22	24	27	27	50	28	25	52	49	30	14	12	20	16	13	13	0	88	0	0	5	
1408	1524	1304	1072	890	539	1143	1337	753	1147	1181	1080	688	961	737	1040	1044	1442	1258	1404	1293	1013	1185	909	1275	1209	1081	1062	965	525	1553	1270	850	647	1424	1324	1750	211	183	205	23	48	69	
12	9	12	15	8	10	7	16	6	16	17	8	6	8	10	9	12	12	11	9	10	6	7	10	12	8	8	18	7	8	16	22	12	12	13	12	15	1	10	4	1	0	1	
1422	1547	1318	1078	893	540	1170	1358	768	1155	1177	1110	694	960	738	1051	1076	1451	1287	1434	1314	1016	1200	923	1290	1228	1123	1072	983	569	1586	1278	852	647	1431	1328	1748	223	173	289	22	48	73	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	11	18	13	6	3	10	9	9	7	6	13	5	7	10	6	5	12	11	14	13	7	15	6	14	12	16	7	13	3	14	10	10	6	20	6	11	3	3	3	0	0	0	
199	205	175	146	125	62	131	185	80	151	145	123	95	122	102	120	152	201	155	175	177	99	160	114	166	148	123	112	111	72	205	129	94	73	163	141	238	22	5	17	2	8	3	
86	102	81	49	33	43	97	107	56	86	89	78	57	69	52	84	68	90	93	84	66	64	105	70	103	67	68	94	56	47	105	102	70	40	78	54	97	16	12	23	2	5	5	
1028	1136	966	775	682	402	873	976	570	836	863	844	496	703	529	787	794	1074	946	1073	983	788	862	691	940	945	865	809	745	431	1192	974	642	494	1093	1065	1294	171	149	232	18	31	60	
48	44	30	35	14	20	23	38	15	33	31	25	19	26	18	19	21	30	28	38	33	24	32	18	29	22	19	21	23	7	31	33	11	14	27	27	58	4	2	6	0	2	5	
6	6	10	8	5	4	6	4	8	11	5	7	3	4	3	4	5	6	12	12	4	8	6	9	6	18	7	10	11	5	11	9	5	3	8	7	13	1	1	2	0	2	0	
17	23	14	15	7	1	12	15	14	8	20	12	11	6	13	14	10	14	23	13	17	9	7	8	13	5	11	9	12	0	16	6	10	8	26	9	18	4	1	1	0	0	0	
29	20	24	37	21	5	18	24	16	23	18	8	8	23	11	17	21	24	19	25	21	17	13	7	19	11	14	10	12	4	12	15	10	9	16	19	19	2	0	5	0	0	0	
