"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	
1919	2007	1612	1986	1987	1882	1779	1732	1901	1715	2027	1018	1918	1928	939	806	849	977	637	235	552	1197	700	2173	2144	1047	1178	2998	2994	2989	
1919	2017	1620	1995	1996	1890	1787	1740	1910	1723	2037	1023	1927	1937	943	810	853	981	640	236	554	1200	703	2183	2154	1052	1183	3000	3000	3000	
0	0	0	0	0	0	0	0	0	0	0	927	0	0	0	0	0	352	0	78	187	400	0	346	428	242	238	1560	2248	2452	
1896	1900	1575	1754	1958	1832	1731	1683	1872	1681	2022	60	1894	1847	928	778	841	623	635	151	357	763	698	1781	1653	794	919	1436	743	535	
5	12	15	185	12	7	5	8	8	9	4	27	14	25	9	27	6	0	1	6	8	32	0	7	25	1	6	0	0	0	
18	105	30	56	26	51	51	49	30	33	11	9	19	65	6	5	6	6	4	1	2	5	5	49	48	15	20	4	9	13	
5	12	15	185	12	7	5	8	8	9	4	954	14	25	9	27	6	352	1	84	195	432	0	353	453	243	244	1560	2248	2452	
1896	1900	1575	1754	1958	1832	1731	1683	1872	1681	2022	60	1894	1847	928	778	841	623	635	151	357	763	698	1781	1653	794	919	1436	743	535	
21	22	20	14	9	6	10	15	10	20	9	13	32	11	2	2	2	5	6	0	1	5	2	19	22	7	13	0	2	0	
1880	1890	1570	1925	1961	1833	1726	1676	1870	1670	2017	1001	1876	1861	935	803	845	970	630	235	551	1190	696	2115	2084	1030	1150	2996	2989	2987	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	7	3	10	8	14	3	7	7	6	9	4	19	7	6	3	0	1	1	0	4	4	1	5	12	2	9	3	2	2	
85	78	48	96	100	98	66	85	113	118	102	46	65	95	13	10	89	27	12	1	10	7	21	75	114	71	61	373	15	10	
125	129	80	136	120	125	118	135	142	120	133	78	152	125	39	24	62	58	20	3	27	13	38	158	157	96	94	15	293	201	
1620	1649	1404	1650	1700	1559	1502	1410	1580	1378	1730	854	1612	1614	867	753	693	878	592	229	503	1159	629	1857	1777	849	961	2497	2664	2763	
8	10	20	16	9	10	14	15	10	15	11	10	6	5	3	4	1	1	2	1	3	3	2	7	8	5	16	45	7	5	
14	6	3	6	7	10	8	9	5	10	8	3	5	3	2	2	0	2	1	0	2	1	1	4	7	2	3	21	3	2	
4	6	6	6	5	5	9	7	10	14	10	4	10	5	1	4	0	1	1	1	0	2	2	4	5	2	4	22	2	1	
12	5	6	5	12	12	6	8	3	9	14	2	7	7	4	3	0	2	1	0	2	1	2	5	4	3	2	20	3	3	
