"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	
332	156	597	123	349	78	308	62	517	74	174	71	341	181	74	206	136	478	31	207	340	673	290	186	327	47	158	393	39	550	231	186	1721	920	1418	995	1282	1118	1597	908	442	680	
337	155	604	123	354	80	312	66	537	78	176	70	346	188	75	199	136	500	30	204	348	692	300	188	333	57	153	399	42	560	232	189	1738	930	1450	1020	1300	1130	1630	930	452	695	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
310	152	590	120	323	71	277	29	490	57	132	37	263	126	70	136	114	341	25	197	315	607	281	171	285	32	140	341	33	516	211	162	1546	880	1144	819	807	1014	1082	588	302	623	
17	0	0	2	26	4	19	32	22	17	10	15	13	12	4	12	21	124	5	7	18	61	2	10	36	15	13	41	5	25	16	21	105	36	94	90	80	89	136	73	27	21	
10	3	14	1	5	5	16	5	25	4	34	18	70	50	1	51	1	35	0	0	15	24	17	7	12	10	0	17	4	19	5	6	87	14	212	111	413	27	412	269	123	51	
17	0	0	2	26	4	19	32	22	17	10	15	13	12	4	12	21	124	5	7	18	61	2	10	36	15	13	41	5	25	16	21	105	36	94	90	80	89	136	73	27	21	
310	152	590	120	323	71	277	29	490	57	132	37	263	126	70	136	114	341	25	197	315	607	281	171	285	32	140	341	33	516	211	162	1546	880	1144	819	807	1014	1082	588	302	623	
0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	17	0	0	8	0	0	
327	152	590	122	349	75	296	61	512	74	142	51	274	138	74	148	135	465	30	204	333	668	282	181	321	47	152	382	38	541	227	183	1651	916	1238	907	870	1103	1218	653	329	644	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2	1	4	2	4	1	12	5	0	1	
9	4	6	2	16	2	5	2	14	3	9	1	37	12	1	8	3	5	0	2	5	15	4	0	9	3	14	10	2	6	7	5	89	30	34	73	122	119	144	90	20	28	
1	5	5	1	8	2	6	2	7	2	12	14	27	10	6	10	2	21	0	1	9	6	3	34	7	1	8	4	1	5	5	3	9	14	86	60	120	62	129	114	12	18	
315	139	573	119	325	71	283	57	489	69	120	34	198	113	66	128	129	437	30	201	318	647	275	147	305	43	123	368	35	523	213	175	1547	867	1084	765	604	916	913	430	297	585	
1	2	2	0	0	0	1	0	1	0	0	0	5	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	1	20	2	7	2	5	4	0	5	
0	2	1	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1	3	2	4	1	7	5	0	3	
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	6	1	4	1	7	2	0	2	
0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	5	1	1	3	0	2	
