"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №276"	
1492	2146	2326	826	521	288	2682	2058	1522	1819	1899	1627	1034	1484	247	383	593	292	1655	1785	3300	1530	2898	2325	2625	1311	1586	1857	1319	182	2378	1114	2060	340	1561	1211	490	211	292	1840	
1507	1900	2250	780	500	250	2500	1950	1450	1700	1800	1500	1050	1400	200	350	650	290	1500	1700	2700	1400	2700	2100	2400	1200	1500	1700	1100	178	2200	1050	1750	300	1500	1200	470	190	270	1420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1441	1091	1494	605	383	228	2106	1815	1281	1620	1100	1363	839	1216	180	319	577	234	1323	1405	1339	1206	2246	1925	1970	1105	1284	1316	873	161	2171	875	1308	276	1325	994	409	182	253	1339	
28	201	200	8	19	14	16	19	10	11	19	11	112	61	3	23	16	14	57	11	367	9	86	15	10	6	10	28	28	2	17	50	12	20	28	68	26	8	5	7	
38	608	556	167	98	8	378	116	159	69	681	126	99	123	17	8	57	42	120	284	994	185	368	160	420	89	206	356	199	15	12	125	430	4	147	138	35	0	12	74	
28	201	200	8	19	14	16	19	10	11	19	11	112	61	3	23	16	14	57	11	367	9	86	15	10	6	10	28	28	2	17	50	12	20	28	68	26	8	5	7	
1441	1091	1494	605	383	228	2106	1815	1281	1620	1100	1361	839	1216	180	319	577	234	1323	1405	1339	1206	2246	1925	1970	1105	1284	1316	873	161	2171	875	1308	276	1325	994	409	182	253	1339	
2	11	16	9	4	4	6	48	17	37	25	44	18	22	3	4	6	3	2	24	32	8	15	25	21	14	7	15	9	1	24	5	16	0	17	15	3	0	1	12	
1467	1281	1678	604	398	238	2116	1786	1274	1594	1094	1328	933	1255	180	338	587	245	1378	1392	1674	1207	2317	1915	1959	1097	1287	1329	892	162	2164	920	1304	296	1336	1047	432	190	257	1334	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	6	1	1	1	4	5	5	3	6	5	2	2	0	1	1	2	0	4	9	9	10	4	6	3	5	3	5	0	8	3	8	1	4	3	3	1	1	5	
31	247	298	71	43	33	213	88	156	216	169	151	90	168	12	23	36	55	5	138	241	108	222	162	211	129	115	135	112	16	193	106	257	27	199	165	87	52	30	207	
3	16	12	21	20	6	38	36	35	35	44	44	20	24	14	9	26	6	5	42	67	39	83	36	94	88	28	34	36	6	63	5	47	22	27	5	13	4	11	60	
1430	973	1335	502	330	194	1823	1633	1050	1301	839	1100	805	1035	151	299	517	180	1350	1173	1282	1025	1951	1667	1596	839	1109	1103	704	137	1856	783	935	241	1075	859	324	131	209	1020	
2	27	14	2	1	1	12	11	9	9	14	9	7	13	2	2	2	0	7	12	33	12	22	20	23	18	11	13	11	1	20	11	33	2	12	7	1	1	0	23	
0	3	4	1	1	2	9	4	2	13	13	7	6	6	0	2	4	0	1	11	16	6	7	12	9	10	4	12	9	0	8	6	6	3	9	2	0	0	3	7	
0	5	5	5	1	0	8	6	11	12	6	7	1	5	0	1	0	2	8	7	13	5	8	8	5	4	8	13	11	2	9	3	11	0	3	0	1	1	2	3	
0	6	4	1	1	1	9	3	6	5	3	5	2	2	1	1	1	0	2	5	13	3	14	6	15	6	7	16	4	0	7	3	7	0	7	6	3	0	1	9	
