"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	
126	204	77	682	762	516	730	290	1003	378	46	627	156	121	74	
125	220	85	600	600	500	600	325	1050	420	50	665	125	115	75	
5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	
83	125	55	502	477	314	440	190	497	229	33	402	86	82	43	
3	24	3	24	21	11	48	6	123	12	1	32	19	9	0	
34	71	27	74	91	175	112	129	430	179	16	231	20	24	32	
8	24	3	24	32	11	48	6	123	12	1	32	19	9	0	
83	125	55	502	477	314	440	190	497	229	33	402	86	82	43	
0	2	1	3	6	0	7	2	5	1	0	5	0	0	0	
91	147	57	523	503	325	481	194	615	240	34	429	105	91	43	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	5	4	1	3	0	2	1	0	1	0	0	0	
7	17	16	118	104	49	91	47	39	49	6	51	12	12	2	
5	13	1	28	39	20	31	2	62	6	1	48	14	7	1	
79	117	39	359	352	248	350	141	499	181	26	312	77	71	40	
0	0	0	5	2	3	4	1	4	2	0	7	0	1	0	
0	0	0	2	1	2	1	0	4	0	1	4	0	0	0	
0	0	0	4	0	0	0	2	3	0	0	3	2	0	0	
0	0	0	2	1	2	1	1	2	1	0	3	0	0	0	
