"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	
2740	1688	773	802	1689	1621	2490	1577	1698	2544	2115	1055	1134	2084	2639	2136	2131	1502	1908	1812	2156	2434	2601	
2800	1715	780	824	1740	1650	2560	1600	1730	2595	2140	1060	1145	2110	2670	2190	2180	1530	1960	1850	2210	2490	2650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2468	1547	667	718	1571	1419	2329	1450	1565	2339	1928	940	1033	1940	2416	1872	1960	1381	1755	1694	1986	2229	2311	
89	22	30	16	26	84	13	3	0	7	0	11	0	0	0	91	16	2	15	6	8	26	91	
243	146	83	90	143	147	218	147	165	249	212	109	112	170	254	227	204	147	190	150	216	235	248	
89	22	30	16	26	84	13	3	0	7	0	11	0	0	0	91	16	2	15	6	8	26	91	
2468	1547	667	718	1571	1419	2329	1450	1565	2339	1928	940	1033	1940	2416	1872	1960	1381	1755	1694	1986	2229	2311	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2557	1569	697	734	1597	1503	2342	1453	1565	2346	1928	951	1033	1940	2416	1963	1976	1383	1770	1700	1994	2255	2402	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	2	2	3	3	4	3	3	4	3	3	2	3	5	4	4	2	3	3	4	4	6	
97	60	46	27	81	67	69	54	51	89	53	56	39	74	92	75	54	53	67	65	76	86	91	
14	23	6	7	5	4	2	3	4	2	8	8	10	9	12	19	17	23	35	36	37	40	43	
2430	1467	634	694	1502	1421	2247	1370	1491	2229	1850	875	975	1845	2292	1848	1882	1292	1642	1579	1858	2098	2237	
1	3	1	0	0	1	0	2	3	2	3	2	0	0	4	3	3	2	7	6	6	9	9	
5	5	5	2	3	3	5	3	6	9	4	2	2	2	2	4	4	2	4	3	3	3	5	
3	5	3	2	2	3	13	15	5	7	4	3	3	4	5	6	6	4	5	5	6	7	7	
2	3	0	0	1	1	2	3	2	4	3	2	2	3	4	4	6	5	7	3	4	8	4	
