"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №3434"	
3000	3061	2948	2308	2287	1986	1678	2937	2580	
2300	2100	2300	1900	1700	1600	1300	2000	2000	
0	0	0	0	0	0	0	0	0	
1650	1733	1767	1327	1314	1107	903	1659	1423	
67	18	31	60	45	56	87	69	82	
583	349	502	513	341	437	310	271	495	
67	18	31	60	45	56	87	69	82	
1647	1730	1767	1325	1312	1107	903	1659	1419	
22	23	19	16	19	12	12	22	21	
1692	1725	1779	1369	1338	1151	978	1706	1480	
0	0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	0	

22	21	11	8	13	8	14	10	18	
192	246	192	164	161	144	132	209	201	
93	62	78	64	79	70	67	95	62	
1231	1126	1307	966	938	805	664	1243	999	
55	140	108	88	63	56	49	70	82	
11	9	9	13	11	4	8	7	7	
26	48	28	21	15	22	17	24	36	
62	73	46	45	58	42	27	48	75	
