"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	
1314	1215	1286	1164	1295	1318	1320	1419	1215	1423	1334	1406	1278	1404	732	403	
1100	1000	1100	1000	1100	1000	1050	1200	1000	1150	1100	1200	1050	1150	727	362	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
744	647	725	713	792	706	833	775	689	725	750	667	637	768	302	217	
30	23	41	17	35	70	32	40	34	27	47	29	30	31	33	16	
326	330	334	270	273	224	185	385	277	398	303	504	383	351	392	129	
30	23	41	17	35	70	32	40	34	27	47	29	30	31	33	16	
744	647	724	713	792	706	833	775	689	725	749	667	636	768	302	217	
8	7	5	6	15	8	11	7	8	8	6	13	5	8	5	1	
766	663	760	724	812	768	854	808	715	744	790	683	661	791	330	232	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	6	11	5	13	5	7	12	6	5	7	5	7	5	2	3	
146	144	174	148	148	163	171	156	132	168	152	133	163	130	58	55	
73	55	72	69	58	66	63	81	81	100	81	95	77	81	43	39	
521	443	479	480	570	506	583	522	466	454	541	430	396	544	221	127	
7	3	8	10	8	13	13	18	10	5	3	4	7	16	0	3	
4	3	6	7	3	4	8	7	5	1	4	3	5	9	2	2	
4	3	5	2	8	9	2	7	8	6	0	7	3	3	3	1	
4	6	5	3	4	2	7	5	7	5	2	6	3	3	1	2	
