"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	
450	291	507	124	179	438	72	288	349	355	391	186	239	383	386	139	657	618	268	219	161	102	727	911	757	296	258	405	126	85	158	181	352	1361	1523	2581	1888	
394	292	523	123	180	452	75	294	365	343	397	190	238	389	391	146	778	648	276	220	160	109	739	943	752	299	242	411	130	89	176	198	372	1355	1498	2640	1950	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
297	158	313	83	128	283	54	172	160	258	278	141	161	253	252	101	437	378	200	135	93	72	330	498	449	148	162	296	86	54	132	158	169	762	935	1698	1181	
45	58	20	8	17	51	6	38	81	39	21	24	22	32	25	7	16	54	7	19	20	12	107	105	75	44	22	20	15	17	11	7	91	64	154	66	61	
52	76	190	32	35	118	15	84	124	46	98	25	55	104	114	38	325	216	69	66	47	25	302	340	228	107	58	95	29	18	33	33	112	529	409	876	708	
45	58	20	8	17	51	6	38	81	39	21	24	22	32	25	7	16	54	7	19	20	12	107	105	75	44	22	20	15	17	11	7	91	64	154	66	61	
297	158	313	83	128	283	54	172	160	258	278	141	161	253	252	101	437	378	200	135	93	72	330	497	449	148	162	296	86	54	132	158	169	762	935	1698	1181	
3	1	6	1	1	7	0	1	4	2	4	2	3	6	2	2	4	4	2	1	3	0	3	5	3	1	2	2	0	0	0	3	3	15	14	33	14	
339	215	327	90	144	327	60	209	237	295	295	163	180	279	275	106	449	428	205	153	110	84	434	597	521	191	182	314	101	71	143	162	257	811	1075	1731	1228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	2	0	1	3	4	0	3	2	0	0	0	0	1	2	7	7	8	7	
60	31	55	20	2	55	13	22	11	39	26	8	17	59	44	17	86	61	20	15	10	8	76	104	105	26	26	52	5	27	8	33	37	154	187	353	225	
50	23	36	6	11	25	4	22	33	12	31	12	16	29	31	13	72	50	25	27	26	8	36	44	49	18	19	37	10	13	12	36	22	93	108	202	148	
215	160	230	61	130	243	42	162	187	241	227	140	145	183	194	74	270	310	154	102	73	67	311	437	355	141	132	217	85	28	123	91	189	548	754	1137	827	
4	0	2	1	0	0	1	2	2	0	3	0	1	2	3	1	14	3	1	4	0	0	2	5	3	0	0	2	1	2	0	0	1	2	5	13	9	
2	1	1	1	0	1	0	0	1	1	3	1	1	5	1	0	2	2	3	2	1	0	3	1	6	1	2	5	0	0	0	0	1	5	6	7	2	
1	0	2	0	1	2	0	0	2	1	2	1	0	0	0	0	2	2	1	1	0	0	3	1	3	1	1	1	0	1	0	1	4	1	7	7	4	
5	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	4	6	
