"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	
1058	1740	1334	1589	1592	714	1767	2668	1946	1346	2021	2217	1400	1172	2326	1447	1789	1694	1809	1799	2389	2648	1587	1448	1348	1190	1592	1861	1254	438	2396	1751	1941	684	401	1274	737	2653	1779	952	1494	342	257	946	748	964	1861	1068	1486	1949	2179	469	199	1307	1339	972	1999	504	315	583	1966	1593	2059	1607	2445	976	408	
950	1550	1250	1400	1450	650	1650	2450	1850	1250	1850	1950	1300	1100	2150	1300	1500	1550	1650	1650	2250	2500	1500	1250	1250	1050	1450	1650	1150	400	2250	1750	1850	650	350	1150	700	2400	1650	900	1450	300	250	1000	800	1000	1800	1100	1400	1900	2100	450	193	1300	1300	900	1950	500	319	550	1800	1300	1900	1450	2200	800	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
508	762	852	759	782	394	913	1324	1758	649	1303	1727	734	619	1436	948	1090	1047	875	945	1311	1619	672	655	674	656	1167	1230	877	302	1416	998	993	404	195	670	316	1436	930	506	836	156	185	492	535	446	823	460	762	968	1214	367	182	564	678	365	853	219	310	269	1025	864	1062	789	1370	542	234	
36	57	24	129	33	104	45	41	16	23	170	36	94	55	41	59	126	44	41	116	67	24	42	73	134	36	106	108	26	19	162	157	78	46	50	47	30	64	52	100	74	36	16	103	41	137	216	52	123	430	314	20	3	200	199	207	209	51	0	28	54	49	51	145	57	23	8	
406	731	374	512	635	152	692	1085	76	578	377	187	472	426	673	293	284	459	734	589	872	857	786	522	442	358	177	312	247	79	672	595	779	200	105	433	354	900	668	294	540	108	49	405	224	417	761	588	515	502	572	63	8	536	423	328	888	230	9	253	721	387	787	516	773	235	108	
36	57	24	129	33	104	45	41	16	23	170	36	94	55	41	59	126	44	41	116	67	24	42	73	134	36	106	108	26	19	162	157	78	46	50	47	30	64	52	100	74	36	16	103	41	137	216	52	123	430	314	20	3	200	199	207	209	51	0	28	54	49	51	145	57	23	8	
508	762	842	759	782	394	913	1324	1758	649	1303	1727	734	619	1436	948	1090	1047	875	945	1311	1619	672	655	674	656	1167	1230	877	302	1416	998	993	404	195	670	316	1436	930	506	836	156	185	490	535	446	821	460	762	968	1214	367	182	564	678	365	853	219	310	269	1025	864	1062	789	1370	542	234	
6	18	10	13	6	10	19	18	8	14	19	14	13	6	15	18	0	12	12	6	12	20	6	7	9	6	13	15	6	3	10	5	5	3	4	11	4	26	14	8	20	2	0	7	4	8	26	6	15	7	5	5	3	8	0	5	18	4	6	3	25	19	12	13	12	8	3	
538	801	856	875	809	488	939	1347	1766	658	1454	1749	815	668	1462	989	1216	1079	904	1055	1366	1623	708	721	799	686	1260	1323	897	318	1568	1150	1066	447	241	706	342	1474	968	598	890	190	201	586	572	575	1011	506	870	1391	1523	382	182	756	877	567	1044	266	304	294	1054	894	1101	921	1415	557	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	3	6	10	6	9	6	8	5	0	14	2	5	9	4	1	3	9	4	3	14	10	3	5	3	29	7	5	2	10	7	4	3	0	4	3	8	5	2	5	0	2	5	0	2	9	2	5	5	9	1	1	2	3	3	6	1	2	1	16	6	9	10	3	5	2	
111	143	132	176	141	60	155	239	104	110	201	229	137	101	211	122	170	142	157	153	217	322	122	130	124	92	187	211	130	28	304	193	205	36	37	130	83	291	157	127	162	25	13	99	68	86	102	69	170	243	265	50	36	126	100	61	209	67	95	51	180	171	188	154	285	114	41	
37	43	23	38	51	24	49	67	44	45	60	60	33	21	68	30	41	52	46	43	64	96	42	45	44	36	56	47	35	15	80	78	66	9	7	46	13	82	77	31	62	12	7	27	19	25	67	33	51	43	23	1	11	20	7	12	51	22	14	6	56	46	77	48	76	34	18	
375	591	677	622	581	387	695	998	1595	472	1156	1404	624	532	1115	804	978	847	669	833	1039	1127	510	518	596	540	971	1023	712	270	1132	846	769	393	194	496	234	1067	711	425	647	151	177	440	478	454	808	390	626	1081	1195	325	129	602	746	486	755	165	180	229	770	638	797	695	1006	378	173	
1	7	6	7	6	6	10	13	5	9	12	15	4	2	22	9	11	11	3	11	14	23	11	8	11	4	4	16	6	1	9	10	9	1	2	14	3	6	7	5	4	1	1	7	3	3	7	5	5	8	14	1	3	3	7	2	10	2	7	4	8	18	12	5	20	8	2	
