"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	
1503	1052	1566	484	363	181	316	199	243	
1250	856	1350	500	420	200	330	240	254	
0	0	0	0	62	16	72	82	21	
1194	791	1117	352	263	157	206	115	204	
6	9	53	9	7	6	16	0	5	
50	56	180	139	88	21	36	43	24	
6	9	53	9	69	22	88	82	26	
1194	791	1117	352	263	157	206	115	204	
16	10	13	5	6	1	1	5	1	
1184	790	1157	356	326	178	293	192	229	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

6	3	5	0	2	0	0	1	1	
125	68	99	26	21	7	28	15	14	
115	78	119	35	21	18	26	19	43	
895	608	889	283	274	152	224	144	161	
13	11	16	5	5	1	4	8	6	
5	4	14	3	1	0	6	2	2	
11	11	10	3	2	0	3	1	0	
14	7	5	1	0	0	2	2	2	
