"УИК №2559"	"УИК №2560"	"УИК №2561"	"УИК №2562"	"УИК №2563"	"УИК №2564"	
881	1976	1367	1433	2494	250	
650	1500	1100	1100	1900	200	
0	0	20	0	8	0	
364	1091	810	722	1292	175	
67	46	75	69	85	6	
219	363	195	309	515	19	
67	46	95	69	93	6	
364	1091	810	722	1292	175	
6	22	11	7	18	1	
425	1115	894	784	1367	180	
0	0	0	0	0	0	
0	0	0	0	0	0	

5	7	3	3	9	1	
53	145	154	109	193	18	
24	68	63	49	92	17	
333	875	662	609	1050	143	
5	9	5	8	8	1	
2	6	3	0	6	0	
1	4	1	3	4	0	
2	1	3	3	5	0	
