"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	
266	1359	1029	991	368	145	1163	798	1169	1497	898	827	892	879	
250	1250	950	950	350	150	1100	750	1100	1500	900	750	850	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
146	969	724	577	273	88	727	511	638	965	524	441	633	593	
4	34	22	25	9	6	52	10	41	27	31	33	27	29	
100	247	204	348	68	56	321	229	421	508	345	276	190	228	
4	34	22	25	9	6	52	10	41	27	31	33	27	29	
146	969	724	577	273	88	727	511	638	965	524	441	633	593	
6	7	14	13	1	0	16	3	4	18	6	13	6	18	
144	996	732	589	281	94	763	518	675	974	549	461	654	604	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	7	2	3	0	2	5	2	6	3	3	3	3	5	
16	224	147	110	70	20	213	90	113	196	140	84	182	152	
9	61	36	40	16	2	66	46	34	61	37	19	43	54	
117	675	536	426	191	68	457	373	519	692	366	349	415	388	
1	14	5	1	0	2	8	1	1	4	1	3	2	1	
0	3	1	8	0	0	8	1	1	11	0	1	4	2	
0	5	2	1	4	0	0	3	1	7	2	1	4	0	
1	7	3	0	0	0	6	2	0	0	0	1	1	2	
