"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	"УИК №3106"	"УИК №3107"	"УИК №3108"	"УИК №3109"	"УИК №3110"	"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	
1336	1378	1304	150	874	103	444	808	458	337	119	424	668	616	446	425	694	344	639	588	219	
1471	1417	1361	161	949	121	481	835	512	455	128	445	692	620	544	502	749	378	739	707	254	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
786	725	694	92	475	66	249	345	252	219	60	230	357	304	287	202	307	164	338	296	129	
81	56	70	17	94	5	64	94	41	52	41	58	43	39	77	70	152	59	110	129	56	
604	636	597	52	380	50	168	396	219	184	27	157	292	277	180	230	290	155	291	282	69	
81	56	70	17	94	5	64	94	41	52	41	58	43	39	77	70	152	59	110	129	56	
786	725	694	92	475	66	249	345	252	219	60	230	357	304	287	202	307	164	338	296	129	
66	6	5	2	6	1	4	2	0	1	0	1	3	2	4	1	2	3	4	5	18	
801	775	759	107	563	70	309	437	293	270	101	287	397	341	360	271	457	220	444	420	167	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	6	0	0	0	1	2	4	1	0	1	2	1	1	1	4	2	2	2	4	
142	121	124	5	85	11	36	44	41	29	12	29	92	58	42	33	61	37	64	55	36	
58	60	69	15	57	6	45	33	36	28	6	18	37	32	25	21	27	18	49	42	12	
579	571	543	87	409	52	222	350	202	211	79	232	260	240	286	210	354	156	318	312	105	
8	5	4	0	2	1	1	1	3	0	0	1	2	6	2	1	3	1	5	5	0	
9	9	6	0	7	0	4	4	2	0	2	1	2	2	1	3	5	5	1	2	9	
1	2	4	0	3	0	0	1	1	1	0	0	0	1	3	1	2	1	2	1	1	
2	3	3	0	0	0	0	2	4	0	2	5	2	1	0	1	1	0	3	1	0	
