"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	
360	515	180	1702	361	331	275	709	343	302	171	235	336	259	137	105	927	1469	
356	487	192	1716	341	336	272	755	336	312	171	261	347	266	138	106	990	1513	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
324	375	157	1024	234	282	187	346	206	185	71	195	204	197	80	79	601	953	
19	45	23	76	55	16	26	90	76	54	26	28	76	23	16	17	100	115	
13	67	12	616	52	38	59	319	54	73	74	38	67	46	42	10	289	445	
19	45	23	76	55	16	26	90	76	54	26	28	76	23	16	17	100	115	
324	375	157	1024	234	282	187	346	206	185	71	195	204	197	80	79	601	953	
1	28	0	24	3	4	2	3	0	0	2	0	4	1	0	0	8	8	
342	392	180	1076	286	294	211	433	282	239	95	223	276	219	96	96	693	1060	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	0	8	1	2	2	3	1	7	0	2	1	0	0	0	3	5	
13	16	6	160	5	4	14	38	3	33	11	4	14	2	10	8	75	97	
3	12	5	73	9	10	10	27	12	6	7	3	11	17	6	3	60	66	
319	353	164	804	266	276	176	356	263	188	75	214	249	198	77	84	543	872	
1	4	2	10	4	1	3	3	1	3	1	0	1	2	2	0	6	5	
2	4	2	9	0	1	2	3	2	0	1	0	0	0	1	0	2	6	
0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	1	2	4	
1	1	1	9	1	0	4	1	0	0	0	0	0	0	0	0	2	5	
