"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №2603"	"УИК №2607"	
327	1519	1595	2510	2532	2551	2568	2461	1325	2447	2600	786	1783	2403	2550	2358	2687	1482	2401	1418	2768	2467	2778	1819	2465	1030	274	1064	203	
300	1500	1600	2550	2550	2550	2550	2500	1300	2400	2450	750	1800	2400	2550	2300	2700	1500	2450	1400	2800	2400	2800	1800	2450	1000	250	1050	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190	1040	755	1233	1532	1634	1479	1616	834	1617	1551	523	1147	1567	1639	1389	1694	913	1494	847	1666	1374	1571	956	1375	536	147	558	54	
2	46	18	51	18	20	30	18	16	28	46	14	11	27	20	24	22	28	33	26	60	58	40	20	79	14	12	26	124	
108	414	827	1266	1000	896	1041	866	450	755	853	213	642	806	891	887	984	559	923	527	1074	968	1189	824	996	450	91	466	272	
2	46	18	51	18	20	30	18	16	28	46	14	11	27	20	24	22	28	33	26	60	58	40	20	79	14	12	26	124	
190	1040	755	1233	1532	1633	1479	1616	834	1616	1551	523	1147	1566	1639	1389	1694	913	1494	847	1666	1374	1571	956	1375	536	147	558	54	
1	20	10	15	30	14	20	26	5	16	21	2	19	25	28	15	27	10	31	18	20	33	25	21	21	9	0	11	0	
191	1066	763	1269	1520	1639	1489	1608	845	1628	1576	535	1139	1568	1631	1398	1689	931	1496	855	1706	1399	1586	955	1433	541	159	573	178	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	7	0	10	7	12	12	15	9	9	7	3	10	14	18	6	12	9	18	3	10	10	5	5	12	4	2	6	1	
27	78	119	166	213	247	202	230	105	193	234	67	161	249	228	227	224	137	204	101	207	179	198	147	176	78	22	79	14	
11	72	63	135	118	127	123	135	55	104	129	31	91	87	104	120	125	74	117	53	130	140	136	66	105	61	12	55	17	
147	892	562	917	1132	1191	1096	1162	646	1253	1144	413	837	1150	1223	1001	1259	687	1093	666	1296	1020	1189	701	1094	377	120	409	143	
0	9	4	14	22	28	21	24	11	19	23	4	18	25	18	18	31	9	21	13	20	22	17	13	17	7	1	7	2	
5	5	7	10	11	11	7	21	9	6	12	6	5	16	10	9	8	7	12	8	15	5	9	5	7	3	0	8	0	
1	1	4	7	9	12	8	8	5	24	12	3	8	13	14	7	14	4	14	5	9	12	10	7	7	4	2	5	1	
0	2	4	10	8	11	20	13	5	20	15	8	9	14	16	10	16	4	17	6	19	11	22	11	15	7	0	4	0	
