"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	
1258	1074	1344	1283	1325	
1280	1240	1310	1240	1330	
129	73	64	138	119	
818	774	928	802	868	
23	17	18	29	54	
310	376	300	271	289	
152	90	82	167	173	
818	772	928	802	868	
8	14	14	18	14	
962	848	996	951	1027	
0	0	0	0	0	
0	0	0	0	0	

4	5	5	6	4	
110	103	147	129	144	
81	84	84	77	82	
731	633	733	701	754	
12	12	11	27	31	
13	8	7	4	4	
5	3	6	4	6	
6	0	3	3	2	
