"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	
2208	2208	2557	2069	2251	2244	1544	987	2522	1593	1951	2522	2257	2149	2075	2208	2125	2424	2452	646	119	1238	781	667	342	
2000	2000	2500	2000	2000	2000	1500	1000	2500	1500	2000	2500	2000	2000	2000	2000	2000	2500	2500	600	120	1100	800	700	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1388	1436	1641	1298	1451	1578	1012	549	1283	958	1415	1668	1531	1449	1469	1373	1378	1586	1437	425	80	784	511	421	278	
117	82	127	137	120	160	197	134	85	105	83	46	126	39	100	45	73	82	168	41	8	117	93	161	54	
495	482	732	565	429	262	291	317	1132	437	502	786	343	512	431	582	549	832	895	134	32	199	196	118	18	
117	82	127	137	120	160	197	134	85	105	83	46	126	39	100	45	73	82	168	41	8	117	93	161	54	
1388	1436	1641	1298	1451	1578	1012	546	1280	958	1415	1668	1531	1448	1469	1373	1378	1584	1437	425	80	784	511	421	278	
26	26	29	26	24	24	17	9	18	17	22	23	22	24	33	15	24	30	32	7	0	21	8	4	0	
1479	1492	1739	1409	1547	1714	1192	671	1347	1046	1476	1691	1635	1463	1536	1403	1427	1636	1573	459	88	880	596	578	332	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	4	9	10	12	11	13	2	10	6	8	17	12	8	11	13	10	16	12	3	0	7	7	3	1	
217	203	260	221	229	272	179	91	179	141	266	309	248	261	239	216	219	249	260	65	18	89	76	54	63	
176	168	135	122	112	97	81	45	93	68	111	129	126	99	115	136	97	105	116	33	9	63	53	56	24	
1018	1067	1267	1013	1095	1227	877	504	1034	786	1045	1160	1193	1031	1117	981	1028	1197	1123	338	56	703	438	445	233	
17	25	32	17	45	42	13	12	17	18	19	31	18	16	22	31	23	27	21	3	4	9	8	7	4	
13	5	9	8	15	14	12	7	8	10	9	7	9	19	12	6	10	13	8	10	0	5	8	5	2	
16	12	15	10	14	24	11	4	3	11	11	24	14	16	11	12	23	14	18	6	1	3	4	6	0	
9	8	12	8	25	27	6	6	3	6	7	14	15	13	9	8	17	15	15	1	0	1	2	2	5	
