"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	
1609	504	1337	623	2049	945	1138	112	290	229	138	634	643	268	409	303	322	439	209	
1450	450	1100	550	1800	800	1000	100	260	200	120	550	550	250	370	260	300	360	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
740	249	611	299	881	488	624	73	192	161	66	312	300	136	187	165	110	227	119	
139	26	126	74	226	81	74	14	47	22	31	125	140	33	49	43	63	43	14	
571	175	363	177	693	231	302	13	21	17	23	113	110	81	134	52	127	90	57	
139	26	126	74	226	81	74	14	47	22	31	125	140	33	49	43	63	43	14	
740	249	611	299	881	488	624	73	192	161	66	312	300	136	187	165	110	227	119	
8	2	13	4	15	3	4	0	3	1	0	8	3	2	3	1	1	1	0	
871	273	724	369	1092	566	694	87	236	182	97	429	437	167	233	207	172	269	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	2	9	5	15	6	9	2	1	2	1	3	3	2	0	2	0	3	2	
118	42	112	52	163	84	105	9	38	35	7	45	11	28	59	16	25	48	14	
81	28	52	20	87	50	48	5	20	17	4	35	75	17	17	19	10	20	12	
649	191	522	282	799	413	509	70	167	125	82	338	340	115	152	166	134	196	101	
4	3	13	4	9	3	2	1	2	3	1	1	3	3	1	0	3	1	1	
6	4	3	0	8	3	12	0	3	0	1	2	1	0	2	2	0	1	0	
4	2	8	5	8	2	4	0	2	0	1	4	3	2	1	1	0	0	1	
3	1	5	1	3	5	5	0	3	0	0	1	1	0	1	1	0	0	2	
