"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	
707	1019	608	293	1208	475	149	287	92	214	187	131	1038	422	163	588	374	591	107	245	986	792	1098	1007	1002	506	990	
800	1000	600	250	1200	450	170	260	80	200	400	120	1000	450	150	600	400	550	90	230	900	800	1000	1000	1000	500	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
443	764	430	212	857	348	130	221	69	158	142	101	827	293	124	420	279	410	77	192	790	506	662	653	629	312	671	
34	46	17	15	43	13	4	13	1	5	2	2	33	18	5	16	10	18	6	10	8	10	101	24	12	7	21	
323	190	153	23	300	89	36	26	10	37	256	17	140	139	21	164	111	122	7	28	102	284	237	323	359	181	308	
34	46	17	15	43	13	4	13	1	5	2	2	33	18	5	16	10	18	6	10	8	10	101	24	12	7	21	
443	764	430	212	857	348	130	221	69	158	142	101	827	293	124	420	279	410	77	192	790	506	662	653	629	312	671	
4	0	1	2	4	1	0	0	0	0	0	4	3	3	0	4	0	2	3	1	4	2	4	3	4	1	9	
473	810	446	225	896	360	134	234	70	163	144	99	857	308	129	432	289	426	80	201	794	514	759	674	637	318	683	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	4	1	1	2	2	
210	312	207	98	391	84	37	109	20	58	55	12	329	101	53	147	125	179	34	108	240	193	291	250	264	103	253	
2	11	4	2	5	0	1	1	2	3	1	0	5	10	3	4	1	0	0	1	2	1	7	10	5	5	1	
253	466	229	120	476	266	96	120	46	98	86	87	512	187	73	268	156	242	46	90	527	306	436	393	353	200	408	
3	17	2	5	14	7	0	2	1	3	2	0	7	6	0	5	4	3	0	2	14	10	13	10	7	4	11	
2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3	2	1	0	0	0	0	2	6	3	0	2	
1	1	1	0	4	2	0	0	0	0	0	0	1	1	0	3	0	0	0	0	2	2	1	3	2	3	4	
1	2	1	0	1	1	0	2	0	0	0	0	3	3	0	2	1	0	0	0	7	2	5	1	2	1	2	
