"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	
304	278	85	93	55	85	103	129	109	296	108	209	523	148	166	256	202	363	195	192	167	130	1455	103	347	124	233	496	294	133	187	126	387	160	213	315	104	137	39	149	208	87	97	167	65	164	807	386	237	106	307	185	402	303	72	322	641	408	359	75	152	330	235	125	251	
330	270	85	80	49	80	120	115	105	275	105	205	517	140	160	250	185	350	185	190	165	120	1400	100	325	120	230	490	290	130	180	125	380	200	200	315	100	135	39	145	200	85	95	165	65	160	800	380	225	100	280	155	390	265	70	315	640	390	310	75	150	325	230	120	245	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
210	244	85	55	19	67	87	75	99	203	64	165	345	109	123	230	138	280	127	112	160	89	927	100	259	75	210	378	205	112	135	109	349	146	140	87	52	121	36	125	138	65	87	148	65	95	625	354	186	100	194	141	322	203	60	280	591	317	273	52	138	241	185	105	182	
0	15	0	0	0	0	0	0	0	0	0	0	10	0	4	0	2	6	14	3	0	7	35	0	3	0	5	0	0	0	24	0	3	14	0	19	0	3	0	7	0	2	0	9	0	7	0	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	
120	11	0	25	30	13	33	40	6	72	41	40	162	31	33	20	45	64	44	75	5	24	438	0	63	45	15	112	85	18	21	16	28	40	60	209	48	11	3	13	62	18	8	8	0	58	175	9	39	0	86	12	68	62	10	35	49	73	37	23	12	84	45	15	44	
0	15	0	0	0	0	0	0	0	0	0	0	10	0	4	0	2	6	14	3	0	7	35	0	3	0	5	0	0	0	24	0	3	14	0	19	0	3	0	7	0	2	0	9	0	7	0	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	
210	244	85	55	19	67	87	75	99	203	64	165	345	109	123	230	138	280	127	112	160	89	927	100	259	75	210	378	205	112	135	109	349	146	140	87	52	121	36	125	138	65	87	148	65	95	625	354	186	100	194	141	322	203	60	280	591	317	273	52	138	241	185	105	182	
3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	1	5	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	13	0	0	0	11	1	0	2	0	1	1	3	1	0	0	0	0	0	0	
207	259	85	55	19	67	87	75	99	203	64	162	353	109	127	230	140	286	139	115	160	96	961	100	262	75	215	378	203	111	154	107	352	160	140	106	52	124	36	132	137	67	87	157	64	102	612	371	186	100	183	142	322	201	60	279	590	314	272	52	138	241	185	105	201	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
47	22	36	14	9	8	14	7	0	2	0	0	22	0	10	6	6	2	0	18	6	10	68	6	5	9	3	2	1	1	5	4	0	2	4	22	8	2	0	0	1	4	0	6	0	0	88	45	15	37	41	29	18	109	9	44	51	27	0	5	4	9	2	2	8	
1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	
155	234	38	40	10	58	71	68	98	201	64	162	329	107	117	223	131	281	139	94	154	85	888	94	257	65	212	374	200	110	149	103	352	157	136	83	44	122	36	131	136	61	87	151	64	102	518	323	169	60	142	113	302	92	51	234	539	280	272	47	134	231	182	103	193	
1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	3	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
