"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	
2481	2192	2272	2152	1029	2245	1234	2370	2447	1313	1189	2154	1581	1974	2226	1932	2003	2315	1500	2174	2210	682	2394	827	
2400	2150	2250	2000	1000	2200	1200	2200	2300	1200	1100	2000	1500	1900	2100	1800	1900	2100	1400	2000	2050	650	2250	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	1553	1451	1410	626	1602	874	1878	1565	818	711	1603	862	1282	1589	1541	1262	1791	1101	1772	1796	613	1765	642	
153	146	548	421	228	308	175	138	561	317	303	230	470	404	331	129	190	202	168	72	97	24	286	61	
284	451	251	169	146	290	151	184	174	65	86	167	168	214	180	130	448	107	131	156	157	13	199	47	
153	146	548	421	228	308	175	138	561	317	303	230	470	404	331	129	190	202	168	72	97	24	286	61	
1963	1553	1451	1410	626	1602	874	1876	1565	818	711	1603	862	1282	1589	1541	1257	1791	1101	1772	1796	613	1765	642	
0	14	8	9	4	16	10	9	10	5	4	12	9	5	24	8	22	21	12	3	10	2	11	9	
2116	1685	1991	1822	850	1894	1039	2005	2116	1130	1010	1821	1323	1681	1896	1662	1425	1972	1257	1841	1883	635	2040	694	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	8	10	4	16	3	8	14	7	4	9	1	6	2	11	8	9	5	4	4	3	6	3	
191	199	204	155	85	101	78	219	224	93	94	181	93	54	277	162	196	173	121	152	183	24	208	49	
57	53	53	55	40	72	43	34	28	35	30	49	55	49	4	65	74	70	37	98	64	6	70	25	
1840	1417	1699	1560	707	1628	895	1720	1824	986	874	1560	1159	1557	1607	1402	1111	1685	1078	1568	1606	597	1746	601	
6	5	8	14	5	26	4	6	4	2	3	6	6	3	1	4	10	8	8	6	8	1	5	5	
8	4	7	10	6	19	11	9	13	2	3	8	5	7	2	12	17	18	5	7	8	3	4	5	
6	4	7	12	1	17	1	5	5	3	2	4	2	3	1	3	8	5	3	4	7	1	0	5	
3	0	5	6	2	15	4	4	4	2	0	4	2	2	2	3	1	4	0	2	3	0	1	1	
