"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №795"	
210	273	238	255	273	295	451	526	250	1533	267	
230	260	210	240	280	280	430	540	230	1590	260	
0	0	0	0	0	0	0	0	0	0	0	
116	149	136	136	94	147	192	183	112	930	158	
39	50	34	49	83	60	115	128	50	77	15	
75	61	40	55	103	73	123	229	68	583	87	
39	50	34	49	83	60	115	128	50	77	15	
116	149	136	136	94	147	192	183	112	930	158	
6	1	0	0	1	3	2	5	3	21	2	
149	198	170	185	176	204	305	306	159	986	171	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	4	2	1	4	2	3	1	
23	15	22	31	12	20	58	37	20	191	30	
13	16	7	10	8	18	16	29	16	76	17	
112	163	134	141	152	158	223	228	118	688	117	
0	0	3	1	0	1	4	2	2	10	3	
0	2	1	1	0	2	1	2	1	8	0	
0	1	0	0	0	0	1	3	0	3	1	
0	0	3	1	0	3	1	1	0	7	2	
