"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2299"	
2676	2961	1862	1412	2126	2610	2438	2296	2917	2340	2435	3101	2932	2307	2633	2238	2715	3021	2081	3145	3137	3542	3356	2601	2886	2324	2888	2642	2351	1689	1920	1774	1924	1908	1685	2107	2581	2495	2494	2628	3152	2462	2334	2631	2144	2112	1512	1947	2674	2197	2402	2930	3041	2908	2816	3094	2902	3079	3025	2943	1667	2086	3118	2298	1250	
2500	2700	1700	1300	2000	2300	2400	2300	2800	2100	2200	2700	2600	2300	2300	2000	2700	2700	1800	2700	2800	2800	3200	2600	2500	2200	2800	2500	2100	1500	1900	1600	1700	1700	1500	2100	2400	2300	2400	2600	2700	2200	2300	2400	1900	2000	1400	1500	2200	2100	2300	2600	2800	2800	2700	2800	2700	2800	2700	2800	1600	2000	2800	2300	1250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1400	2145	1097	869	1159	1400	1358	1346	1575	1293	1417	1646	1357	1250	1826	1534	1749	1890	1244	1800	2103	1875	2604	1429	1709	1556	1902	1674	1573	1187	1348	1045	1363	1142	1044	1347	1728	1783	2046	1775	1610	1319	1500	1470	1142	1171	999	907	1548	1103	1584	1673	1765	1618	1868	1626	1830	2096	1545	1775	987	1259	1887	1188	1089	
244	185	170	121	117	100	72	27	210	104	179	48	51	141	22	9	11	225	20	181	226	126	54	100	37	71	189	182	169	107	169	180	169	105	221	181	236	213	58	202	154	236	134	79	75	153	75	349	72	185	216	35	56	427	103	50	132	214	81	139	32	118	231	20	158	
856	370	433	310	724	800	970	927	1015	703	604	1006	1192	909	452	457	940	585	536	719	471	799	542	1071	754	573	709	644	358	206	383	375	168	453	235	572	436	304	296	623	936	645	666	851	683	676	326	244	580	812	500	892	979	755	729	1124	738	490	1074	886	581	623	682	1092	3	
244	185	170	121	117	100	72	27	210	104	179	48	51	141	22	9	11	225	20	181	226	126	54	100	37	71	189	182	169	107	169	180	169	105	221	181	236	213	58	202	154	236	134	79	75	153	75	349	72	185	216	35	56	427	103	50	132	214	81	139	32	117	231	20	158	
1400	2145	1097	869	1159	1400	1358	1346	1575	1293	1417	1646	1357	1250	1826	1534	1749	1890	1244	1800	2103	1875	2604	1429	1709	1556	1902	1674	1573	1187	1348	1045	1363	1074	1044	1347	1728	1783	2046	1775	1610	1319	1500	1470	1142	1171	999	907	1547	1103	1584	1673	1764	1618	1765	1626	1830	2096	1545	1773	987	1259	1887	1188	1089	
18	9	11	7	25	9	21	12	12	0	14	33	14	10	12	18	13	0	7	21	21	13	31	15	23	13	0	19	27	13	0	23	17	25	16	14	20	46	15	0	27	8	18	16	18	14	5	5	16	9	16	17	24	31	9	21	21	0	17	8	9	11	11	7	46	
1626	2321	1256	983	1251	1491	1409	1361	1773	1397	1582	1661	1394	1381	1836	1525	1747	2115	1257	1960	2308	1988	2627	1514	1723	1614	2091	1837	1715	1281	1517	1202	1515	1154	1249	1514	1944	1950	2089	1977	1737	1547	1616	1533	1199	1310	1069	1251	1603	1279	1784	1691	1796	2014	1859	1655	1941	2310	1609	1904	1010	1365	2107	1201	1201	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	14	10	6	10	11	9	9	11	12	10	4	13	7	10	10	16	13	14	21	11	9	17	10	12	14	12	10	12	6	12	6	10	12	14	9	12	8	14	10	3	11	10	17	11	14	7	6	16	13	13	10	12	15	10	7	8	9	9	14	8	15	9	7	5	
287	326	105	118	143	189	213	188	245	198	227	261	217	176	237	261	226	102	191	241	238	308	337	221	257	203	115	207	221	161	149	136	143	171	113	196	213	210	232	216	234	186	172	183	146	166	127	171	163	167	264	250	275	217	193	239	242	215	209	220	123	186	172	170	87	
62	88	65	35	86	95	73	69	100	77	114	85	74	79	48	61	73	123	88	106	78	90	160	80	90	75	45	83	64	22	32	43	57	56	40	87	70	80	76	50	61	69	71	91	79	82	39	70	71	45	37	69	100	99	86	86	112	104	100	102	71	87	73	76	30	
1189	1775	1037	801	964	1139	1068	1030	1350	1036	1166	1233	1031	1063	1487	1106	1348	1783	923	1495	1901	1467	2005	1152	1274	1218	1862	1413	1334	1039	1269	963	1241	846	992	1123	1547	1567	1669	1603	1300	1096	1267	1174	907	980	847	952	1251	970	1378	1274	1331	1630	1510	1265	1506	1916	1241	1512	777	1025	1794	896	1053	
34	53	14	2	20	25	15	26	27	34	31	31	29	24	20	35	36	40	24	39	41	51	57	17	46	45	30	59	40	18	19	25	25	28	23	38	41	46	46	52	68	26	33	20	19	29	22	21	42	32	49	27	23	21	25	22	31	20	16	19	8	15	27	27	13	
10	10	11	4	8	10	12	7	12	11	10	13	6	10	4	14	15	12	2	18	11	6	16	10	11	20	5	11	13	5	5	6	5	11	7	18	15	7	6	10	5	15	15	22	9	15	6	11	12	11	11	13	19	14	16	10	14	11	12	10	7	19	5	7	1	
23	34	7	6	10	16	10	15	18	12	12	20	15	15	15	18	20	22	10	24	17	37	14	13	17	22	17	35	21	14	20	13	15	15	32	28	22	19	26	27	48	125	29	14	16	14	11	10	32	20	11	31	18	12	13	18	11	22	13	18	11	13	19	10	4	
14	21	7	11	10	6	9	17	10	17	12	14	9	7	15	20	13	20	5	16	11	20	21	11	16	17	5	19	10	16	11	10	19	15	28	15	24	13	20	9	18	19	19	12	12	10	10	10	16	21	21	17	18	6	6	8	17	13	9	9	5	5	8	8	8	
