"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	
1000	1701	1861	1595	1377	1472	1667	1780	1701	1592	1687	1527	1616	1234	1716	1682	1555	1999	1668	708	711	1667	1709	201	332	105	263	223	1173	336	172	517	462	300	219	464	570	299	483	1661	521	1106	562	625	956	958	1112	1121	652	1045	609	565	324	269	679	408	550	1687	1518	1888	201	345	931	204	201	1081	1165	1143	851	615	704	533	538	545	559	431	279	
1000	1700	1800	1500	1200	1500	1600	1600	1600	1600	1700	1500	1600	1200	1700	1700	1500	2000	1600	600	700	1700	1700	220	330	100	250	200	1100	330	160	500	470	300	210	470	580	300	500	1600	500	1000	530	600	900	900	1000	1000	600	1000	600	550	330	250	650	380	510	1600	1500	2000	200	320	900	190	200	900	1000	1000	800	600	700	500	500	500	500	400	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
579	1061	1139	925	904	812	984	1004	964	1021	1134	991	1038	722	1178	1085	981	1067	1003	439	387	913	934	124	244	62	148	119	790	213	112	206	250	142	131	289	341	130	268	880	290	644	337	274	498	506	566	860	409	637	285	265	154	156	362	230	302	1023	892	1179	115	227	542	119	128	546	685	685	518	314	424	317	295	256	342	252	197	
77	91	107	109	53	103	92	253	94	48	52	46	65	75	48	51	40	122	101	39	70	137	157	77	71	38	99	80	164	56	31	178	75	80	27	42	57	91	123	234	109	122	88	186	118	130	109	82	75	128	156	100	110	39	135	59	87	78	93	79	27	34	156	34	26	214	80	99	94	92	148	93	85	120	45	63	22	
344	548	554	466	243	585	524	343	542	531	514	463	497	403	474	564	479	811	496	122	243	650	609	19	15	0	3	1	146	61	17	116	145	78	52	139	182	79	109	486	101	234	105	140	284	264	325	58	116	235	159	185	66	55	153	91	121	499	515	742	58	59	202	37	46	140	235	216	188	194	128	90	120	124	113	85	51	
77	91	107	109	53	103	92	253	94	48	52	46	65	75	48	51	40	122	101	39	70	137	157	77	71	38	99	80	164	56	31	178	75	80	27	42	57	91	123	234	109	122	88	186	118	130	109	82	75	128	156	100	110	39	135	59	87	78	93	79	27	34	156	34	26	214	80	99	94	92	148	93	85	120	45	63	22	
579	1061	1139	925	904	812	984	1004	964	1021	1134	991	1035	720	1178	1085	981	1067	1003	439	387	913	934	124	244	62	148	119	790	213	112	206	250	142	131	289	341	130	268	880	290	644	337	274	498	506	566	860	409	637	285	265	154	156	362	230	302	1023	892	1179	115	227	542	119	128	546	685	685	518	314	424	317	295	256	342	252	197	
11	10	13	15	10	9	12	14	7	10	18	11	14	5	12	12	11	13	11	1	3	14	15	0	0	0	2	4	13	3	2	6	2	4	0	4	8	2	7	10	3	13	2	3	5	11	16	11	0	5	9	7	1	0	5	1	7	8	6	11	0	15	1	2	2	5	9	7	6	3	7	4	6	2	13	1	4	
645	1142	1233	1019	947	906	1064	1243	1051	1059	1168	1026	1086	790	1214	1124	1010	1176	1093	477	454	1036	1076	201	315	100	245	195	941	266	141	378	323	218	158	327	390	219	384	1104	396	753	423	457	611	625	659	931	484	760	432	358	263	195	492	288	382	1093	979	1247	142	246	697	151	152	755	756	777	606	403	565	406	374	374	374	314	215	
