"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №2595"	"УИК №2596"	"УИК №2597"	"УИК №2598"	"УИК №2599"	"УИК №2600"	"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №3751"	"УИК №3752"	"УИК №3753"	"УИК №3756"	
2744	1330	2754	2507	2059	2232	1992	1557	2611	2674	2911	2655	2159	2383	2471	2000	2490	2562	2379	2509	2288	1295	2526	2583	2175	2228	2563	2485	2805	2636	2142	2475	1943	2389	1789	1940	2389	2203	690	223	762	127	198	
2200	1100	2150	1950	1600	1800	1500	1400	2100	2050	2300	2100	1550	1900	2000	1600	2000	2000	1950	2050	1800	950	2000	2000	1650	1750	1950	1950	2250	2100	1650	1950	1500	1550	1400	1500	1899	1600	500	250	1200	150	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1654	797	1449	1356	1234	1338	1179	905	1557	1681	1583	1411	1200	1278	1294	1107	1399	1394	1401	1373	1222	762	1407	1365	1228	1226	1441	1325	1426	1338	1215	1373	1073	1274	926	1124	1286	1263	394	202	523	123	136	
20	34	37	59	33	29	44	41	50	17	32	40	37	43	36	40	53	33	28	51	38	12	51	68	53	38	55	57	63	54	46	52	53	46	66	30	57	60	9	7	208	0	57	
526	269	664	535	333	433	277	454	493	352	685	649	313	579	670	453	548	573	521	626	540	176	542	567	369	486	454	568	761	708	389	525	374	230	408	346	557	277	97	41	469	27	257	
20	34	37	58	33	29	44	38	50	17	32	40	37	43	36	40	53	33	28	51	38	12	51	68	53	38	39	57	63	54	46	52	53	46	66	30	57	60	9	7	208	0	57	
1647	795	1449	1352	1232	1338	1179	905	1556	1679	1582	1410	1200	1278	1293	1103	1399	1394	1401	1370	1222	761	1404	1365	1226	1224	1438	1324	1426	1336	1215	1371	1073	1271	925	1124	1284	1257	393	202	523	123	136	
37	7	20	46	24	24	17	10	17	26	22	16	29	11	17	21	20	26	11	53	25	30	21	24	21	20	20	25	28	17	42	27	12	15	13	15	24	20	8	2	9	2	3	
1630	822	1466	1364	1241	1343	1206	933	1589	1670	1592	1434	1208	1310	1312	1122	1432	1401	1418	1368	1235	743	1434	1409	1258	1242	1457	1356	1461	1373	1219	1396	1114	1302	978	1139	1317	1297	394	207	722	121	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	

20	8	15	21	19	13	8	7	10	12	15	22	12	5	15	16	15	11	27	13	13	4	15	13	26	14	18	23	22	17	15	10	8	8	12	10	11	20	3	1	9	3	1	
296	107	230	243	176	153	142	102	260	287	253	177	182	138	153	159	189	164	157	158	147	90	168	175	166	142	181	157	211	190	145	161	136	202	136	138	154	180	63	32	81	23	11	
40	40	50	37	62	82	82	43	49	57	85	74	42	94	77	47	48	71	88	67	60	35	51	73	68	69	73	67	62	49	59	62	44	71	29	58	57	58	19	3	19	11	10	
1109	555	1008	904	842	982	885	710	1124	1134	1068	1003	836	976	927	753	1048	1016	1044	993	899	541	996	962	868	898	1029	976	938	983	852	989	737	872	702	780	939	878	286	159	575	80	164	
69	48	77	67	67	47	38	28	61	84	71	69	44	33	63	59	46	53	36	67	49	32	102	78	51	57	62	52	101	52	72	60	70	67	39	65	71	65	9	4	17	1	2	
10	9	13	10	6	11	9	8	16	15	6	8	9	9	13	7	14	15	7	8	9	3	10	10	12	13	16	11	10	10	7	18	12	10	9	5	14	10	6	0	5	1	1	
39	15	27	39	21	30	14	9	34	30	34	25	28	24	24	21	24	26	29	21	17	12	31	40	25	15	21	27	39	24	20	24	31	22	9	27	19	29	5	4	5	1	0	
47	40	46	43	48	25	28	26	35	51	60	56	55	31	40	60	48	45	30	41	41	26	61	58	42	34	57	43	78	48	49	72	76	50	42	56	52	57	3	4	11	1	1	
