"УИК №635"	"УИК №636"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №644"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	"УИК №1871"	"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №3647"	"УИК №3886"	"УИК №3887"	"УИК №3888"	"УИК №3889"	"УИК №3890"	"УИК №3891"	"УИК №3892"	"УИК №3893"	"УИК №3894"	"УИК №3895"	"УИК №3896"	"УИК №3897"	"УИК №3898"	"УИК №3899"	"УИК №3900"	"УИК №3901"	"УИК №3902"	"УИК №3903"	"УИК №3904"	"УИК №4195"	"УИК №4196"	
1315	1519	1180	909	1576	1496	1078	957	1368	1500	1403	1763	1563	740	1823	1142	1634	1498	1407	1163	715	988	1426	1432	1157	1615	1073	1557	1747	1012	1050	1328	1086	1143	1143	1713	1844	2351	1178	1511	1929	1363	1691	1363	1602	1813	1904	1422	1117	1974	1626	1855	1684	999	1092	1403	1155	1086	1867	1238	402	148	1251	1194	1077	1066	1121	1215	1277	1031	1220	1405	1051	1201	1161	1057	1106	1404	1515	1526	1269	1401	1374	1418	951	1071	1122	1146	1653	1200	1806	595	1876	1074	1957	1308	735	1338	741	708	799	713	410	456	1980	1790	516	1670	507	231	1207	523	274	291	1032	816	384	656	743	386	1084	1017	1125	1059	1117	1262	1101	1006	1023	733	1264	1039	718	1086	1066	1137	795	1064	930	601	230	
1200	1400	1100	800	1700	1600	1100	1000	1300	1500	1400	1700	1500	600	1800	1000	1700	1400	1300	1200	600	1000	1300	1400	1000	1600	1000	1600	1700	1000	1000	1100	1000	1100	1100	1700	1700	1900	1100	1400	1900	1300	1600	1300	1300	1800	1900	1400	1100	1900	1600	1800	1700	1000	1000	1400	1100	1100	1900	1200	400	150	1200	1100	1000	1000	1100	1100	1200	1000	1100	1300	1000	1100	1000	1000	1000	1400	1400	1400	1200	1200	1300	1300	800	1000	900	1000	1500	1100	1800	500	1900	1000	1800	1200	600	1100	700	600	700	600	400	400	1800	1800	500	1700	500	200	1100	500	200	250	1000	700	300	600	600	300	1000	1000	1100	1000	1100	1200	1100	1000	1000	700	1200	900	600	900	1000	1100	700	1000	1000	700	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1068	1051	845	467	918	822	565	673	940	1029	965	847	816	522	860	713	1126	809	1053	590	502	829	758	1009	816	1427	892	1323	912	869	572	746	612	927	577	1334	1279	1438	599	897	1161	676	903	680	668	1271	1349	743	649	1056	1140	1129	939	730	615	740	693	875	1427	1011	61	105	721	801	689	630	651	962	1002	524	736	914	828	638	696	827	873	1054	1068	812	853	934	783	1000	663	772	841	751	1177	848	917	326	1056	739	1053	732	406	957	548	379	418	544	230	340	1466	936	355	880	263	129	673	300	128	196	669	476	281	448	491	222	640	716	826	755	873	960	776	504	715	412	986	656	504	667	739	787	428	855	556	601	230	
101	74	78	12	21	17	21	23	37	21	26	26	32	1	26	8	24	31	16	7	9	22	19	25	30	23	20	14	18	5	21	14	7	13	28	13	23	32	14	16	33	15	23	29	297	29	27	18	21	24	12	24	11	12	9	13	8	10	58	16	336	0	7	6	9	20	12	39	3	22	26	22	29	47	39	60	10	16	49	144	85	37	33	87	42	26	32	39	39	59	135	73	183	105	24	8	25	115	31	38	59	29	13	23	33	75	18	34	24	37	54	42	38	31	15	57	2	44	32	25	11	11	13	17	10	20	4	9	0	3	11	62	65	89	75	93	12	28	107	0	0	
31	275	177	321	761	761	514	304	323	450	409	827	652	77	914	279	550	560	231	603	89	149	523	366	154	150	88	263	770	126	407	340	381	160	495	353	398	430	487	487	706	609	674	591	335	500	524	639	430	820	448	647	750	258	376	647	399	215	415	173	3	45	472	293	302	350	437	99	195	454	338	364	143	415	265	113	117	330	283	444	262	229	484	213	95	202	27	210	284	193	748	101	661	156	723	460	169	28	121	183	223	27	157	37	301	789	127	786	213	34	373	158	34	23	316	167	17	108	77	53	349	273	261	228	217	220	320	487	285	285	203	182	31	144	186	220	260	117	337	99	20	
101	74	78	12	21	17	21	23	37	21	26	26	32	1	26	8	24	31	16	7	9	22	19	25	30	23	20	14	18	5	21	14	7	13	28	13	23	32	14	16	33	15	23	29	297	29	27	18	21	24	12	24	11	12	9	13	8	10	58	16	336	0	7	6	9	20	12	39	3	22	26	22	29	47	39	60	10	16	49	144	85	37	33	87	42	26	32	39	39	59	135	73	183	105	24	8	25	115	31	38	59	29	13	23	33	75	18	34	24	37	54	42	38	31	15	57	2	44	32	25	11	11	13	17	10	20	4	9	0	3	11	62	65	89	75	93	12	28	107	0	0	
1068	1051	845	467	916	822	565	672	938	1029	965	847	812	522	860	713	1126	809	1053	590	502	829	758	1009	816	1427	892	1323	912	869	572	746	612	927	577	1334	1279	1438	599	897	1161	676	903	680	668	1271	1349	743	649	1056	1139	1129	939	730	615	739	691	871	1427	1011	61	105	721	801	689	630	651	962	1002	524	736	914	828	638	696	827	873	1054	1068	812	853	934	783	1000	663	772	841	751	1177	789	917	326	1053	739	1053	732	406	957	548	379	418	544	230	340	1466	936	355	880	263	128	668	300	128	196	669	476	281	448	491	222	640	716	826	755	873	960	776	504	714	412	986	656	504	667	739	787	428	855	556	601	230	
11	12	4	6	19	13	9	8	9	8	13	12	11	0	13	0	18	19	11	7	8	5	12	20	13	16	18	5	9	0	2	15	13	0	9	7	107	33	19	10	13	12	16	19	18	120	3	12	9	20	15	7	6	7	9	9	7	5	9	4	6	4	12	14	5	16	6	11	8	2	0	3	60	9	6	18	4	13	12	25	6	12	11	5	8	5	0	6	5	8	12	6	27	34	21	10	5	16	3	4	9	1	4	0	19	9	2	13	6	1	14	5	1	4	11	11	2	13	20	1	9	12	4	15	10	10	11	6	8	0	8	2	4	1	10	6	6	18	11	21	5	
1158	1113	919	473	918	826	577	687	966	1042	978	861	833	523	873	721	1132	821	1058	590	503	846	765	1014	833	1434	894	1332	921	874	591	745	606	940	596	1340	1195	1437	594	903	1181	679	910	690	947	1180	1373	749	661	1060	1136	1146	944	735	615	743	692	876	1476	1023	391	101	716	793	693	634	657	990	997	544	762	933	797	676	729	869	879	1057	1105	931	932	959	805	1082	697	793	873	784	1211	840	1040	393	1209	810	1056	730	426	1056	576	413	468	572	239	363	1480	1002	371	901	281	164	708	337	165	223	673	522	281	479	503	246	642	715	835	757	873	970	769	507	706	415	989	716	565	755	804	874	434	865	652	580	225	
