"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	
459	574	344	338	84	83	107	309	197	222	212	406	112	182	162	47	270	185	242	159	55	81	62	199	320	399	216	114	72	42	102	221	252	355	90	252	119	
459	530	347	338	79	83	107	278	181	220	209	406	110	182	154	47	258	218	242	159	55	81	62	236	320	384	216	116	74	42	98	223	252	355	88	251	115	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
387	390	343	285	53	77	105	210	175	191	200	379	45	151	110	28	244	175	242	154	48	66	58	199	164	383	121	67	45	37	98	160	204	156	35	131	88	
0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
72	140	3	53	26	6	1	68	6	29	9	27	65	31	44	19	14	43	0	5	7	15	4	37	156	1	95	49	29	5	0	63	48	199	53	120	27	
0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
387	390	343	285	53	77	105	210	175	191	200	379	45	151	110	28	244	175	242	154	48	66	58	199	164	383	121	67	45	37	98	160	204	156	35	131	88	
0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	8	4	0	0	
387	386	344	285	53	77	106	210	174	191	200	379	45	151	110	28	242	175	242	154	48	66	58	198	162	383	121	67	45	37	98	160	204	148	31	131	88	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	
10	77	26	60	11	18	3	5	6	12	9	6	6	11	2	4	22	8	0	4	0	18	10	50	32	67	10	1	32	18	0	1	10	28	17	63	11	
10	17	0	0	0	4	3	9	6	25	15	3	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	
367	286	310	225	40	55	100	196	159	154	176	370	39	140	107	24	219	167	242	150	48	48	48	147	128	314	111	66	13	17	96	158	194	117	14	65	77	
0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	
