"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	
836	1128	549	957	1388	1887	1339	1449	1918	1996	901	1072	1340	1713	607	60	146	276	72	
800	1100	550	900	1400	1850	1400	1400	1900	2000	900	1000	1300	1700	600	60	140	250	50	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
452	680	278	568	937	1166	834	922	1249	1325	453	466	729	974	312	29	94	179	29	
29	19	5	35	23	36	24	21	31	41	33	40	33	29	54	26	5	7	18	
319	401	267	297	440	648	542	457	620	634	414	494	538	697	234	5	41	64	3	
29	19	5	35	23	36	24	21	31	41	33	40	33	29	54	26	5	7	18	
452	680	278	568	937	1166	834	922	1249	1325	453	466	729	974	312	29	94	179	29	
8	9	4	8	19	23	18	13	16	18	6	10	14	19	2	2	0	1	0	
473	690	279	595	941	1179	840	930	1264	1348	480	496	748	984	364	53	99	185	47	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	4	9	6	3	8	3	13	13	0	6	7	10	3	1	0	2	0	
71	86	38	68	127	134	110	130	198	177	65	66	114	154	42	7	10	16	4	
42	70	30	62	71	114	74	70	117	116	59	62	97	93	42	9	7	26	5	
346	502	199	438	702	900	618	692	894	999	346	349	500	692	271	35	77	137	35	
4	6	2	5	13	6	10	12	16	19	2	2	12	14	2	0	2	1	2	
3	8	5	4	8	9	7	9	8	7	1	4	5	9	1	0	2	1	0	
4	3	1	4	9	9	7	9	6	8	7	3	9	3	2	1	1	0	1	
2	11	0	5	5	4	6	5	12	9	0	4	4	9	1	0	0	2	0	
