"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	
2214	1393	2035	139	407	461	407	179	418	451	503	640	390	
2344	1481	2270	155	445	527	551	280	494	539	555	658	486	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1294	672	1220	95	341	294	312	117	290	303	353	362	239	
288	214	161	3	27	31	31	23	19	17	39	39	36	
762	595	889	57	77	202	208	140	185	219	163	257	211	
288	214	161	3	27	31	31	23	19	17	39	39	36	
1294	672	1220	95	341	294	312	117	290	303	353	362	239	
14	5	18	0	6	3	3	0	7	2	4	8	1	
1568	881	1363	98	362	322	340	140	302	318	388	393	274	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

13	3	9	0	2	1	3	0	3	4	4	4	0	
230	130	211	16	42	22	44	12	26	43	74	37	43	
115	61	119	9	27	21	14	11	16	33	35	43	36	
1177	672	1000	70	289	273	275	116	251	232	268	308	190	
15	2	3	1	2	1	3	0	1	2	1	0	2	
9	7	11	2	0	4	1	0	5	3	4	1	3	
5	4	5	0	0	0	0	1	0	1	0	0	0	
4	2	5	0	0	0	0	0	0	0	2	0	0	
