"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	"УИК №1250"	"УИК №1251"	"УИК №1252"	"УИК №1253"	"УИК №1254"	"УИК №1255"	"УИК №1256"	"УИК №1257"	"УИК №1258"	"УИК №1259"	"УИК №1260"	"УИК №1261"	"УИК №1262"	"УИК №1263"	"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	
1200	1486	1637	1746	1580	1600	1620	1462	1509	1483	1494	1401	1691	1544	1389	1464	1457	592	1147	375	1571	1472	
1100	1500	1600	1700	1600	1600	1700	1500	1400	1500	1500	1400	1700	1600	1400	1400	1500	550	1100	300	1600	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
649	920	984	1029	963	1034	1023	887	1044	941	936	926	1074	970	854	958	868	286	644	117	971	927	
43	15	26	46	25	15	24	14	15	25	18	27	21	26	15	12	9	6	69	167	25	16	
408	565	590	625	612	551	653	599	341	534	546	447	605	604	531	430	623	258	387	16	604	557	
43	15	26	46	25	15	24	14	15	25	18	27	21	26	15	12	9	6	69	167	25	16	
649	920	984	1029	963	1034	1023	887	1044	941	936	926	1074	970	854	958	868	286	644	117	971	927	
16	13	13	12	19	15	10	12	15	13	13	9	14	10	9	17	21	10	8	1	7	8	
676	922	997	1063	969	1034	1037	889	1044	953	941	944	1081	986	860	953	856	282	705	283	989	935	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	5	4	6	7	8	7	9	2	4	7	8	4	1	6	0	0	3	6	3	6	
108	181	175	190	167	191	141	152	207	166	170	165	206	217	187	162	160	35	131	11	160	166	
56	57	57	59	62	53	61	52	54	50	53	49	65	53	47	61	67	28	38	15	50	58	
498	667	743	793	714	759	801	664	758	715	697	710	781	697	615	707	611	215	524	236	751	689	
6	6	4	7	7	11	5	6	5	9	3	4	9	5	2	4	4	1	3	6	12	3	
3	4	6	6	7	3	10	1	6	2	6	3	4	3	2	8	8	1	1	2	3	5	
0	2	2	2	3	8	3	3	2	5	3	3	5	3	2	4	2	0	2	3	6	2	
2	2	5	2	3	2	8	4	3	4	5	3	3	4	4	1	4	2	3	4	4	6	
