"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №2819"	"УИК №2820"	"УИК №2821"	"УИК №2822"	
1070	1300	1316	1144	1181	1404	1307	1253	1296	1137	1130	1177	1274	1242	1149	1225	1220	1145	476	723	573	481	
1100	1120	1350	1380	1100	1350	1600	1400	1350	1200	1240	1250	1270	1300	1200	1260	1320	1350	480	760	610	510	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
689	800	767	670	750	882	783	884	812	716	801	792	825	830	739	778	747	825	307	416	317	253	
54	51	43	91	57	40	46	52	49	61	57	42	59	47	45	55	93	70	10	44	35	37	
357	269	540	619	293	428	771	464	489	423	382	416	386	423	416	427	480	455	163	300	258	220	
54	51	43	91	57	40	46	52	49	61	57	42	59	47	45	55	93	70	10	44	35	37	
689	800	767	670	750	882	783	884	812	716	801	792	825	830	739	778	747	825	307	416	317	253	
1	9	5	19	12	7	13	5	17	14	15	7	11	13	8	14	4	5	8	8	5	2	
742	842	805	742	795	915	816	931	844	763	843	827	873	864	776	819	836	890	309	452	347	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	4	2	6	7	6	6	1	6	7	2	4	5	3	2	4	6	4	3	3	1	3	
73	113	115	95	80	123	87	118	125	114	137	139	116	129	105	129	118	106	40	65	43	35	
45	45	40	37	56	65	58	48	56	46	37	46	44	41	42	46	49	50	30	20	27	27	
610	666	632	581	645	697	648	744	634	575	656	623	689	666	611	628	647	708	234	357	267	216	
4	4	5	7	3	8	5	10	2	5	2	7	6	11	4	4	10	7	1	2	1	2	
3	3	5	9	1	4	8	6	11	8	3	6	4	3	6	3	4	8	0	5	3	1	
2	4	3	4	3	3	2	1	5	6	3	0	4	6	4	2	0	1	1	0	5	3	
1	3	3	3	0	9	2	3	5	2	3	2	5	5	2	3	2	6	0	0	0	1	
