"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	
221	120	762	145	534	329	252	273	192	171	323	451	637	915	671	771	1202	876	511	144	1348	173	
200	100	760	140	530	300	230	220	170	150	275	430	650	900	650	750	1200	850	500	150	1400	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	57	314	66	269	173	120	134	77	77	183	266	299	452	292	344	575	354	235	79	879	144	
29	25	93	29	54	46	38	31	40	28	43	68	50	28	37	29	50	61	29	9	13	1	
50	18	353	45	207	81	72	55	53	45	49	96	301	420	321	377	575	435	236	62	508	25	
29	25	93	29	54	46	38	31	40	28	43	68	50	28	37	29	50	61	29	9	13	1	
121	57	314	66	269	173	120	134	77	77	183	266	299	452	292	344	575	354	235	79	879	144	
0	0	1	0	3	1	4	3	0	1	3	0	5	4	2	6	8	9	6	1	12	0	
150	82	406	95	320	218	154	162	117	104	223	334	344	476	327	367	617	406	258	87	880	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	0	9	1	1	0	0	2	3	2	4	8	3	3	0	4	1	2	2	0	
4	3	40	5	20	9	10	9	1	5	12	21	32	50	35	29	53	27	23	10	94	8	
8	7	22	3	18	30	12	14	11	5	26	37	18	41	33	40	65	44	23	1	86	12	
135	68	335	85	266	173	130	137	105	91	177	266	281	361	244	276	477	329	204	66	657	122	
0	3	1	0	3	1	0	1	0	0	1	3	3	4	8	2	5	0	3	4	21	2	
3	1	4	1	1	0	1	1	0	0	1	1	3	5	1	4	8	1	1	0	1	1	
0	0	1	0	0	2	0	0	0	0	2	2	0	5	1	9	4	1	2	4	9	0	
0	0	1	1	3	2	0	0	0	1	1	2	3	2	2	4	5	0	1	0	10	0	
