"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	
728	96	398	337	120	118	1462	1495	1478	405	191	66	178	112	212	102	297	181	212	112	291	
741	88	407	341	124	122	1516	1555	1563	404	201	67	187	110	225	103	329	187	219	112	299	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
550	67	260	231	41	86	1007	838	1020	330	136	37	134	58	154	66	202	135	170	61	242	
70	20	99	69	70	22	170	360	164	42	37	23	31	48	37	20	70	28	23	41	25	
121	1	48	41	13	14	339	357	379	32	28	7	22	4	34	17	57	24	26	10	32	
70	20	99	69	70	22	170	360	164	42	37	23	31	48	37	20	70	28	23	41	25	
550	67	260	231	41	86	1007	838	1020	330	136	37	134	58	154	66	202	135	170	61	242	
23	0	1	0	6	1	2	4	0	0	0	0	0	0	1	0	1	3	0	0	0	
597	87	358	300	105	107	1175	1194	1184	372	173	60	165	106	190	86	271	160	193	102	267	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	0	1	4	5	3	1	0	0	0	0	0	0	1	0	0	0	0	
30	5	35	18	0	2	176	180	142	14	8	3	6	1	8	2	7	17	20	0	16	
30	5	13	18	0	5	69	76	28	19	12	1	12	0	8	4	5	19	15	10	6	
520	77	303	255	105	97	910	918	1006	334	151	55	145	103	170	76	254	121	156	92	241	
6	0	0	2	0	0	6	7	3	3	2	0	0	0	4	3	1	0	1	0	2	
9	0	6	3	0	1	5	5	0	1	0	1	2	2	0	0	2	3	1	0	2	
0	0	0	1	0	1	1	2	2	0	0	0	0	0	0	1	1	0	0	0	0	
0	0	1	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
