"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	"УИК №2922"	"УИК №2923"	"УИК №2924"	"УИК №2925"	"УИК №2926"	"УИК №2927"	"УИК №2928"	"УИК №2929"	"УИК №2930"	"УИК №2931"	"УИК №2932"	"УИК №2933"	"УИК №2934"	"УИК №2935"	"УИК №2936"	"УИК №2937"	"УИК №2938"	"УИК №2939"	"УИК №2940"	"УИК №2941"	"УИК №2942"	"УИК №2943"	"УИК №2944"	"УИК №2945"	"УИК №2946"	"УИК №2947"	"УИК №2948"	"УИК №2949"	"УИК №2950"	"УИК №2951"	"УИК №2952"	"УИК №2953"	"УИК №2954"	"УИК №2955"	"УИК №2956"	"УИК №2957"	"УИК №2958"	"УИК №2959"	"УИК №2960"	"УИК №2961"	"УИК №2962"	"УИК №2963"	"УИК №2964"	"УИК №2965"	
1509	1776	1747	1459	1699	1943	1807	1584	2411	2197	1884	2572	1823	1997	2269	2417	2006	2190	964	2129	2262	2463	2344	2277	1439	2596	1708	1713	2625	1728	1158	1717	1027	1812	1191	1267	2729	2773	2944	2494	2304	2119	2174	2385	2015	2155	2132	1877	1693	1951	2698	2125	1314	2325	2148	2480	1886	2652	1681	687	2300	1408	289	711	658	
1300	1300	1700	1150	1300	2000	1900	1300	1800	1700	1500	2500	1400	1950	1900	2300	1500	2150	800	1700	1700	2000	2300	2050	1600	2100	1300	1500	2000	1700	900	1700	800	1800	1250	1150	2100	2450	3000	2000	1800	1900	1700	2800	1600	1700	1700	1500	1600	1600	2100	2050	1000	1900	1700	2000	1500	2500	1650	500	2300	1400	300	740	660	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
886	1010	1115	774	1027	1220	1152	980	1438	1324	1144	1615	1108	1257	1427	1607	1091	1388	624	1370	1233	1505	1406	1411	937	1646	934	1061	1686	1119	667	839	626	1056	678	766	1602	1907	1890	1581	1369	1197	1301	1541	1238	1278	1226	1177	1004	1159	1592	1375	722	1291	1239	1437	946	1468	851	357	1493	987	249	301	281	
47	23	33	60	63	57	44	34	56	68	67	50	35	28	35	33	15	40	19	38	61	33	64	45	25	55	69	40	34	68	29	44	18	52	21	45	48	42	88	67	58	57	75	36	30	49	56	36	39	62	55	34	33	31	51	63	57	106	40	23	23	22	21	342	368	
367	267	552	316	210	723	704	286	306	308	289	835	257	665	438	660	394	722	157	292	406	462	830	594	638	399	297	399	280	513	204	817	156	692	551	339	450	501	1022	352	373	646	324	1223	332	373	418	287	557	379	453	641	245	578	410	500	497	926	759	120	784	391	30	97	11	
47	23	33	60	63	45	44	34	56	68	67	50	35	28	35	33	15	40	19	38	61	33	64	45	25	55	69	40	34	68	29	44	18	52	21	45	48	42	88	67	58	57	75	36	30	49	56	36	39	62	55	34	33	31	51	63	57	106	40	23	23	22	21	342	368	
886	1007	1115	774	1027	1220	1152	980	1438	1324	1144	1615	1107	1257	1427	1607	1091	1388	623	1370	1233	1505	1405	1411	937	1646	934	1061	1685	1119	667	839	626	1056	678	763	1602	1776	1890	1581	1369	1197	1298	1541	1237	1278	1225	1177	1004	1159	1588	1375	722	1291	1239	1435	946	1468	851	357	1493	987	249	301	281	
9	14	15	9	12	17	15	13	19	15	10	31	15	15	18	18	10	14	2	13	14	16	34	17	8	23	8	9	24	18	8	9	16	11	12	14	24	19	17	25	19	49	23	20	15	15	13	19	14	12	15	26	11	19	14	19	9	28	11	8	27	12	4	2	7	
924	1016	1133	825	1078	1248	1181	1001	1475	1377	1201	1634	1127	1270	1444	1622	1096	1414	640	1395	1280	1522	1435	1439	954	1678	995	1092	1695	1169	688	874	628	1097	687	794	1626	1799	1961	1623	1408	1205	1350	1557	1252	1312	1268	1194	1029	1209	1628	1383	744	1303	1276	1479	994	1546	880	372	1489	997	266	641	642	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	8	7	11	8	13	5	10	12	12	7	9	9	13	12	16	4	11	5	8	9	10	16	12	3	16	8	6	14	3	8	9	8	15	8	8	7	16	14	16	15	11	15	12	10	12	6	13	8	8	12	11	4	8	12	12	6	9	4	1	14	7	0	6	1	
91	118	123	65	109	147	119	73	140	136	115	161	117	140	148	166	131	126	65	112	115	154	169	168	108	174	83	103	189	93	61	92	59	94	80	60	147	193	218	184	151	126	132	132	123	119	114	141	115	132	157	141	81	123	112	142	79	151	72	28	159	82	15	60	43	
63	44	68	62	65	86	82	52	73	73	65	97	65	69	68	76	93	76	45	68	95	93	78	83	61	110	50	44	82	68	42	56	27	63	43	53	95	90	131	104	105	78	83	71	73	109	74	67	48	73	77	72	40	66	70	101	75	87	50	21	64	47	35	59	35	
682	759	845	633	803	909	882	791	1144	1043	929	1229	817	954	1078	1253	789	1058	473	1066	977	1116	1020	1048	714	1207	780	837	1254	920	531	652	471	834	508	612	1245	1366	1477	1213	1036	897	1011	1241	962	987	991	885	791	907	1257	1052	570	1010	991	1125	771	1193	718	311	1128	776	202	484	508	
