"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	
638	998	741	649	1001	542	1158	464	1179	238	394	397	233	416	338	256	431	240	407	639	90	299	635	379	322	308	264	233	323	210	401	164	
650	1000	700	650	1000	500	1100	450	1110	230	400	400	240	400	350	270	450	240	400	650	80	320	650	400	340	340	250	240	300	220	400	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
427	672	426	397	556	302	685	284	705	106	234	259	122	223	232	133	248	139	238	382	60	198	379	218	194	207	164	153	195	142	230	109	
40	28	26	30	40	27	55	10	47	63	51	45	50	52	31	30	66	26	12	46	8	51	99	63	27	41	12	24	80	42	55	24	
183	300	248	223	404	171	360	156	358	61	115	96	68	125	87	107	136	75	150	222	12	71	172	119	119	92	74	63	25	36	115	17	
40	28	26	30	40	27	55	10	47	63	51	45	50	52	31	30	66	26	12	46	8	51	99	63	27	41	12	24	80	42	55	24	
427	672	426	397	556	302	685	284	705	106	234	259	122	223	232	133	248	139	238	382	60	198	379	218	194	207	164	153	195	142	230	109	
3	9	2	2	4	4	9	4	4	1	3	8	0	1	3	1	13	0	4	3	1	2	7	3	1	4	2	0	0	0	0	0	
464	691	450	425	592	325	731	290	748	168	282	296	172	274	260	162	301	165	246	425	67	247	471	278	220	244	174	177	275	184	285	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	0	1	8	2	4	1	1	1	2	4	0	0	0	3	2	1	1	3	0	1	1	2	1	4	1	0	2	1	0	0	
73	106	93	59	99	43	131	59	118	18	26	29	26	43	39	2	47	7	48	50	11	23	38	32	19	15	32	15	44	30	30	9	
49	68	34	38	59	55	90	31	85	36	56	36	22	35	26	42	35	16	34	52	8	26	62	23	26	50	10	11	24	33	31	19	
326	492	316	315	416	223	491	189	532	112	191	222	123	192	194	110	214	137	158	315	45	196	363	219	169	166	124	151	198	120	217	105	
4	7	2	8	1	1	6	4	3	1	4	0	1	0	0	3	1	1	1	2	1	0	6	0	1	1	3	0	1	0	5	0	
5	7	2	2	2	0	4	3	6	0	1	2	0	1	0	2	1	1	4	2	2	0	1	1	1	6	3	0	2	0	2	0	
2	5	2	0	3	0	0	1	2	0	1	0	0	3	1	0	0	2	0	1	0	1	0	1	1	1	1	0	2	0	0	0	
2	3	1	2	4	1	5	2	1	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	
