"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	
277	513	286	128	494	317	130	175	546	346	196	228	362	285	80	359	650	664	630	360	649	388	231	327	316	158	274	44	
258	450	264	115	430	280	126	165	470	310	165	200	306	278	72	318	558	560	558	300	570	332	195	316	272	130	246	40	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
157	269	142	83	263	183	67	100	336	146	76	139	229	139	42	182	309	342	299	144	460	208	139	160	171	36	125	24	
54	83	75	11	104	51	26	44	91	92	53	26	55	76	27	78	122	101	56	109	46	44	24	76	87	91	72	10	
47	98	47	21	63	46	33	21	43	72	36	35	22	63	3	58	127	117	203	47	64	80	32	80	14	3	49	6	
54	83	75	11	104	51	26	44	91	92	53	26	55	76	27	78	122	101	56	109	46	44	24	76	87	91	72	10	
157	269	142	83	263	183	67	100	336	146	76	139	229	139	42	182	309	342	299	144	460	208	139	160	171	36	125	24	
1	4	3	1	4	1	2	1	7	1	1	0	0	1	0	3	2	3	3	1	6	4	1	4	0	0	0	1	
210	348	214	93	363	233	91	143	420	237	128	165	284	214	69	257	429	440	352	252	500	248	162	232	258	127	197	33	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	2	0	1	0	0	0	2	1	0	0	3	1	0	1	2	2	1	0	4	2	0	2	0	0	0	0	
18	30	11	20	29	1	3	13	27	27	5	9	11	28	10	17	17	45	26	13	74	27	22	11	11	10	10	6	
9	25	9	11	22	16	10	11	33	10	6	13	22	8	2	13	25	35	26	19	35	20	18	13	14	8	17	1	
182	284	187	62	307	214	77	113	355	197	114	139	241	175	57	225	375	353	294	217	375	195	121	196	233	108	167	24	
0	2	2	0	1	0	0	2	3	0	1	3	2	0	0	1	2	2	2	0	2	1	0	6	0	0	1	1	
1	2	2	0	1	2	0	3	0	0	2	1	5	1	0	0	3	3	1	2	7	2	1	3	0	1	1	1	
0	1	1	0	2	0	1	1	0	2	0	0	0	1	0	0	4	0	2	1	2	1	0	1	0	0	1	0	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
