"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	"УИК №2127"	"УИК №2128"	"УИК №2129"	"УИК №2130"	"УИК №2131"	"УИК №2132"	"УИК №2133"	"УИК №2134"	"УИК №2135"	"УИК №2136"	"УИК №2137"	"УИК №2138"	"УИК №2139"	"УИК №2140"	"УИК №2141"	"УИК №2142"	"УИК №2143"	"УИК №2144"	"УИК №2145"	"УИК №2146"	"УИК №2147"	"УИК №2148"	"УИК №2149"	"УИК №2150"	"УИК №2151"	"УИК №2152"	"УИК №2153"	"УИК №2154"	"УИК №2155"	"УИК №2156"	"УИК №2157"	"УИК №2158"	"УИК №2159"	"УИК №2160"	"УИК №2161"	"УИК №2162"	"УИК №2163"	"УИК №2164"	"УИК №2165"	"УИК №2166"	"УИК №2167"	"УИК №2168"	"УИК №2169"	"УИК №2170"	"УИК №2171"	"УИК №2172"	"УИК №2173"	"УИК №2174"	"УИК №2175"	"УИК №2176"	"УИК №2177"	"УИК №2178"	"УИК №2179"	
1229	2275	2279	1937	2079	2131	2022	2199	2308	2702	2466	2448	2458	2649	1955	2439	2183	1795	2492	2421	2433	1584	2019	1770	2105	1887	1654	2227	2202	2274	2041	2306	2572	2437	2191	2456	2654	1542	2293	2418	2194	2030	2349	2259	2077	2051	2603	2407	2034	1799	1840	2583	2109	2028	1827	2569	2760	2627	2401	2020	2202	2235	2330	2312	1593	1261	2062	2104	1687	2437	2573	1661	1948	253	184	171	
1000	2000	2000	2000	2000	2000	2000	2000	2000	2500	2500	2500	2500	2500	1500	2500	2000	1500	2500	2500	2500	1500	2000	1500	2000	1500	1500	2000	2000	2000	2000	2500	2500	2000	2000	2500	2500	1500	2000	2000	2000	2000	2000	2000	2000	2000	2500	2000	2000	1500	1500	2500	2000	1500	1500	2500	2500	2500	2000	2000	2000	2000	2000	2000	1500	1000	1500	2000	1500	2000	2500	1100	1500	500	200	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
704	1246	1221	1095	1197	1311	1153	1213	1276	1462	1420	1446	1354	1488	1339	1440	1254	1027	1764	1481	1445	1027	1219	1042	1488	1181	1239	1528	1227	1240	1202	1538	1597	1452	1411	1416	1486	959	1396	1438	1311	1404	1405	1418	1234	1276	1536	1516	1204	1091	1015	1463	1256	1200	1039	1720	1734	1791	1488	1379	1342	1290	1391	1329	950	751	1236	1324	1149	1495	1567	964	916	216	182	171	
22	40	82	39	126	145	77	161	59	41	40	88	25	93	108	51	32	49	96	39	158	74	36	23	83	60	38	88	50	47	28	34	11	49	33	38	15	32	30	23	25	24	20	28	45	25	46	32	32	33	34	31	37	33	33	40	51	42	30	15	30	26	25	39	24	46	24	42	201	34	35	11	12	0	0	0	
274	714	697	866	677	544	770	626	665	997	1040	966	1121	919	53	1009	714	424	640	980	897	399	745	435	429	259	223	384	723	713	770	928	892	499	556	1046	999	509	574	539	664	572	575	554	721	699	918	452	764	376	451	1006	707	267	428	740	715	667	482	606	628	684	584	632	526	203	240	634	150	471	898	125	572	284	18	29	
22	40	82	39	126	145	77	161	59	41	40	88	25	93	108	51	32	49	96	39	158	74	36	23	83	60	38	88	50	47	28	34	11	49	33	38	15	32	30	23	25	24	20	28	45	25	46	32	32	33	34	31	37	33	33	40	51	42	30	15	30	26	25	39	24	46	24	42	201	34	35	11	12	0	0	0	
704	1244	1221	1095	1196	1311	1151	1201	1275	1451	1380	1439	1354	1488	1330	1424	1252	1027	1753	1481	1445	1027	1219	1042	1478	1181	1230	1528	1227	1230	1201	1535	1594	1448	1378	1410	1481	959	1394	1434	1311	1404	1405	1418	1234	1276	1536	1516	1203	1090	1015	1434	1253	1200	1005	1720	1683	1783	1487	1379	1342	1288	1387	1329	950	746	1233	1276	1144	1494	1567	964	916	216	182	171	
12	4	16	6	17	15	17	13	10	22	11	15	20	27	9	23	20	13	14	29	11	4	10	9	11	21	9	12	7	19	16	20	18	11	17	20	21	12	15	18	21	23	14	17	9	17	22	11	12	13	15	19	11	16	19	32	29	13	11	28	26	17	22	15	3	6	17	14	4	25	10	11	11	6	2	1	
714	1280	1287	1128	1305	1441	1211	1349	1324	1470	1409	1512	1359	1554	1429	1452	1264	1063	1835	1491	1592	1097	1245	1056	1550	1220	1259	1604	1270	1258	1213	1549	1587	1486	1394	1428	1475	979	1409	1439	1315	1405	1411	1429	1270	1284	1560	1537	1223	1110	1034	1446	1279	1217	1019	1728	1705	1812	1506	1366	1346	1297	1390	1353	971	786	1240	1304	1341	1503	1592	964	917	210	180	170	
