"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	
1479	404	707	711	197	167	
1480	405	708	712	198	168	
0	0	110	56	0	70	
1140	296	576	613	171	84	
88	43	21	29	15	1	
252	66	1	14	12	13	
88	43	131	85	15	71	
1140	296	575	613	171	84	
21	7	12	1	0	1	
1207	332	694	697	186	154	
0	0	0	0	0	0	
0	0	0	0	0	0	

5	1	0	2	0	1	
46	16	0	4	7	0	
32	14	2	5	8	0	
1090	289	690	682	167	152	
23	6	2	2	4	0	
5	3	0	1	0	0	
4	3	0	0	0	1	
2	0	0	1	0	0	
