"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №367"	
1344	1035	175	250	235	332	216	1090	654	333	104	2063	1508	1228	271	277	1315	1426	112	
1100	1000	150	200	200	300	200	1000	650	300	100	1600	1350	1100	250	250	1100	1250	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
861	567	110	157	163	215	149	648	429	207	70	1496	924	814	132	166	824	837	70	
10	16	4	0	7	9	6	9	28	35	2	46	35	15	13	28	12	41	7	
229	417	36	43	30	76	45	343	193	58	28	58	391	271	105	56	264	372	23	
10	16	4	0	7	9	6	9	28	35	2	46	35	15	13	28	12	41	7	
861	567	110	157	163	215	149	648	429	207	70	1496	924	813	132	166	824	836	70	
14	5	0	1	4	2	6	6	4	4	1	24	24	24	1	3	11	16	0	
857	578	114	156	166	222	149	651	453	238	71	1518	935	804	144	191	825	861	77	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	2	2	0	0	3	6	3	0	2	6	5	3	1	0	2	9	1	
186	99	25	22	40	27	23	154	68	40	12	186	143	137	24	37	168	149	13	
93	58	16	15	18	24	16	56	44	25	4	179	90	76	14	17	70	75	9	
530	388	70	113	101	168	104	408	323	167	52	1082	676	570	100	128	560	612	53	
23	13	0	0	4	1	2	10	3	3	1	34	9	8	1	1	10	7	1	
5	5	0	0	2	1	0	2	4	3	0	9	3	2	2	4	4	3	0	
15	6	1	4	1	0	0	6	6	0	0	12	5	4	0	3	3	4	0	
2	4	0	0	0	1	1	9	2	0	0	10	4	4	2	1	8	2	0	
