"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	
499	619	486	541	391	474	471	498	453	304	232	330	464	281	226	237	250	235	219	
500	550	500	550	400	500	450	450	450	400	250	300	450	250	250	250	250	250	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
349	439	315	349	217	289	275	253	179	112	115	161	184	78	125	106	140	105	97	
31	24	52	19	37	35	16	46	106	133	37	62	116	86	45	64	57	78	79	
120	87	133	182	146	176	159	151	165	155	98	77	150	86	80	80	53	67	24	
31	24	52	19	37	35	16	46	106	133	37	62	116	86	45	64	57	78	79	
349	439	315	349	216	289	275	253	179	112	115	161	184	78	125	106	140	105	97	
5	4	2	2	0	2	7	0	2	4	0	0	2	0	0	1	3	1	0	
375	459	365	366	253	322	284	299	283	241	152	223	298	164	170	169	194	182	176	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	5	4	3	3	2	4	0	0	0	1	1	6	1	0	0	4	3	
61	65	49	64	35	50	36	31	40	30	20	22	25	16	29	15	18	7	8	
16	14	11	21	21	17	14	18	24	16	8	13	15	10	8	16	5	9	10	
279	353	281	267	188	238	222	236	210	184	118	182	244	122	129	132	167	158	148	
5	6	3	3	2	5	4	5	3	5	2	1	5	7	2	1	1	0	4	
0	3	2	0	2	1	1	2	2	3	1	2	2	1	0	1	2	0	3	
2	3	5	2	2	3	3	0	3	1	1	1	2	0	0	1	1	0	0	
6	11	9	5	0	5	2	3	1	2	2	1	4	2	1	3	0	4	0	
