"УИК №2080"	"УИК №2081"	"УИК №2082"	"УИК №2083"	"УИК №2084"	"УИК №2085"	"УИК №2086"	"УИК №2087"	"УИК №2088"	"УИК №2089"	"УИК №2090"	"УИК №2091"	"УИК №2092"	"УИК №2093"	"УИК №2094"	"УИК №2095"	"УИК №2096"	"УИК №2097"	"УИК №2098"	"УИК №2099"	"УИК №2100"	"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2342"	"УИК №2345"	
1145	169	102	101	156	451	218	190	105	95	190	868	318	161	133	601	588	110	289	147	575	1086	347	348	290	172	379	943	133	238	273	286	79	105	168	
1110	160	100	100	150	420	220	190	100	95	180	850	280	170	130	590	580	100	320	140	550	1100	300	350	290	160	365	950	130	230	270	300	70	90	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
593	120	64	72	102	327	173	148	97	89	124	512	184	97	99	423	428	62	265	123	393	751	246	288	226	118	274	618	79	144	177	210	53	66	115	
49	2	9	6	9	39	24	9	3	1	14	41	14	14	14	47	36	9	24	7	25	31	9	17	18	0	36	101	11	43	11	27	5	6	31	
468	38	27	22	39	54	23	33	0	5	42	297	82	59	17	120	116	29	31	10	132	318	45	45	46	42	55	231	40	43	82	63	12	18	14	
49	2	9	6	9	39	24	9	3	1	14	41	14	14	14	47	36	9	24	7	25	31	9	17	18	0	36	101	11	43	11	27	5	6	31	
593	120	64	72	102	327	173	148	97	89	124	512	184	97	99	423	428	62	265	123	393	751	246	288	226	118	274	618	79	144	177	210	53	66	115	
14	1	1	0	1	0	2	2	0	2	3	9	5	0	1	6	3	0	1	0	1	7	4	1	1	0	5	9	0	0	1	2	0	0	2	
628	121	72	78	110	366	195	155	100	88	135	544	193	111	112	464	461	71	288	130	417	775	251	304	243	118	305	710	90	187	187	235	58	72	144	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	0	0	2	0	0	3	1	0	4	2	0	0	2	3	0	1	0	4	6	1	0	0	0	2	2	2	0	2	3	1	0	2	
59	1	3	4	13	29	13	7	5	3	20	131	8	7	6	52	43	5	17	3	80	105	42	12	10	21	30	68	4	10	28	18	8	17	8	
42	4	7	2	8	28	3	16	5	6	18	40	18	17	6	35	27	1	18	13	30	61	18	8	12	13	29	53	8	13	13	20	7	5	10	
519	115	60	72	87	302	175	132	85	76	91	356	162	86	99	370	379	63	250	112	286	593	184	282	221	81	240	576	75	161	142	193	42	50	121	
3	1	2	0	1	1	2	0	1	1	2	3	2	0	0	2	2	1	0	2	7	3	2	0	0	1	1	7	0	1	1	0	0	0	0	
1	0	0	0	0	0	0	0	1	0	3	5	0	0	0	3	2	0	2	0	6	5	3	2	0	0	1	3	1	0	1	1	0	0	1	
1	0	0	0	1	2	0	0	0	1	1	3	0	1	0	0	4	0	0	0	2	1	0	0	0	2	2	1	0	2	0	0	0	0	1	
1	0	0	0	0	2	2	0	0	0	0	2	1	0	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	
