"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	
1378	1958	1927	1815	1412	1828	2127	1096	1389	597	1846	2049	1209	1762	1972	1533	1018	1191	1413	1429	
1250	1700	1800	1700	1250	1700	2000	1000	1200	500	1650	1800	1100	1600	1700	1350	900	1050	1250	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
893	1151	1090	1055	752	1050	1186	557	715	279	887	1038	882	878	1075	702	478	604	827	848	
85	88	111	83	69	140	88	97	119	42	43	119	120	169	156	100	42	42	132	74	
272	461	599	562	429	510	726	346	366	179	720	643	98	553	469	548	380	404	291	378	
85	88	111	83	69	140	88	97	119	42	43	119	120	169	156	100	42	42	132	74	
893	1151	1090	1055	752	1050	1186	557	715	279	886	1038	882	878	1075	702	478	604	827	848	
12	9	11	13	13	13	18	10	9	2	21	17	11	8	26	8	6	7	16	10	
966	1230	1190	1125	808	1177	1256	644	825	319	908	1140	991	1039	1205	794	514	639	943	912	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

20	7	1	6	6	4	9	1	12	3	3	8	7	6	2	6	3	5	3	2	
188	154	173	209	140	156	200	78	120	47	147	180	135	159	189	131	81	88	141	144	
82	110	70	64	54	50	72	56	63	23	55	81	48	63	68	48	37	61	64	48	
646	925	910	815	588	935	951	479	606	236	680	844	780	781	902	579	380	466	715	706	
7	14	11	11	5	5	7	8	7	2	9	10	5	11	7	10	5	4	8	1	
9	11	16	7	8	13	6	13	7	7	3	11	10	9	15	6	2	8	5	7	
7	5	6	7	5	8	5	3	8	1	5	2	3	7	10	11	2	1	3	3	
7	4	3	6	2	6	6	6	2	0	6	4	3	3	12	3	4	6	4	1	
