"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №3647"	
2091	2305	2931	2776	2640	2204	2774	2704	3049	2746	3142	2773	697	896	387	
1800	1700	2300	2100	2100	1700	2200	2000	2300	2300	2400	2500	600	900	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1107	1308	1635	1579	1406	1292	1635	1484	1806	1469	1820	1569	419	620	360	
97	48	68	83	72	80	89	58	68	108	71	69	12	177	27	
596	344	597	438	622	328	476	458	426	723	509	862	169	103	13	
97	48	68	83	72	80	89	58	68	108	71	69	12	177	27	
1107	1308	1629	1577	1403	1289	1634	1481	1804	1467	1818	1566	419	620	360	
22	28	45	27	30	23	40	9	38	16	27	53	10	22	4	
1182	1328	1652	1633	1445	1346	1683	1530	1834	1559	1862	1582	421	775	383	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	13	14	24	10	17	22	17	16	13	19	16	2	12	2	
169	169	223	169	163	136	175	182	234	172	215	242	50	41	36	
76	62	66	69	47	50	75	47	62	66	91	52	13	32	15	
795	910	1136	1132	1012	974	1247	1130	1295	1091	1326	1047	303	647	312	
44	75	92	96	75	72	53	63	80	96	82	106	25	13	8	
7	8	15	9	10	12	15	13	13	10	15	19	1	7	1	
17	27	26	37	35	32	31	21	44	32	37	29	7	7	7	
63	64	80	97	93	53	65	57	90	79	77	71	20	16	2	
