"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №3642"	
2039	2810	2318	2688	2234	2649	2185	2085	2413	2561	2291	2327	2730	2067	2406	2302	2329	2720	2527	2631	2599	2188	624	
1600	2200	1800	2100	1800	2100	1700	1700	2000	2000	2200	1800	2200	1700	2050	1800	1900	2100	2000	2200	2200	1800	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1127	1565	1188	1493	1284	1546	1327	1173	1383	1547	1376	1393	1493	1224	1263	1254	1260	1552	1433	1442	1314	1136	258	
73	72	85	66	85	43	54	22	78	44	50	66	69	50	80	62	60	64	64	82	94	62	366	
400	563	527	540	431	511	319	505	539	409	774	341	638	426	707	484	580	484	503	676	792	602	376	
73	72	85	66	85	43	54	22	78	44	50	66	69	50	80	62	60	64	64	82	94	62	365	
1115	1564	1188	1493	1199	1546	1324	1172	1383	1547	1376	1392	1493	1221	1263	1253	1260	1552	1433	1442	1313	1136	258	
19	15	16	26	27	13	19	35	16	25	42	25	20	11	16	19	18	17	16	14	14	11	0	
1169	1621	1257	1533	1257	1576	1359	1159	1445	1566	1384	1433	1542	1260	1327	1296	1302	1599	1481	1510	1393	1187	623	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	13	11	13	8	12	11	5	17	21	10	16	10	10	9	10	4	13	10	12	19	9	7	
134	158	131	167	123	180	138	124	172	147	162	170	162	107	150	166	147	189	164	176	135	111	41	
71	88	66	78	50	90	94	69	55	90	69	80	97	65	61	84	66	78	71	77	74	67	47	
881	1259	958	1146	980	1168	1055	897	1107	1206	1068	1073	1185	1002	1006	923	988	1189	1127	1157	1047	915	491	
24	40	42	58	39	43	23	29	32	36	16	41	29	34	47	42	42	58	50	41	60	42	11	
9	14	13	9	12	8	11	9	14	8	12	13	16	9	11	14	14	10	14	10	19	5	0	
19	19	14	22	19	24	10	11	11	23	19	17	21	18	14	26	18	28	10	22	9	11	6	
21	30	22	40	26	51	17	15	37	35	28	23	22	15	29	31	23	34	35	15	30	27	20	
