"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	"УИК №2922"	"УИК №2923"	"УИК №2925"	"УИК №2927"	"УИК №2929"	"УИК №2931"	"УИК №2932"	"УИК №2934"	"УИК №2936"	
619	515	654	326	496	328	385	319	528	151	282	850	385	189	423	728	386	465	370	1382	971	1645	1833	2057	1751	671	2743	824	1932	
550	500	500	250	400	300	380	250	450	140	220	660	350	160	380	580	330	430	300	1000	900	1200	1330	1470	1220	550	1950	580	1370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
430	365	352	121	203	213	316	185	314	97	140	435	267	126	292	384	160	241	229	818	826	941	1017	1256	989	394	1627	489	1094	
78	131	49	105	140	46	54	60	36	19	64	85	69	29	81	57	120	160	39	132	57	104	43	66	47	41	68	16	113	
42	4	99	24	57	41	10	5	100	24	16	140	14	5	7	139	50	29	32	50	17	155	270	148	184	115	255	75	163	
78	131	49	105	140	46	54	60	36	19	64	85	69	29	81	57	120	160	39	132	57	104	43	66	47	41	68	16	113	
430	365	352	121	203	213	316	185	314	97	140	435	267	126	292	384	160	241	229	818	826	941	1017	1256	989	394	1626	489	1094	
4	8	1	0	1	1	2	1	3	0	1	6	4	1	2	3	2	0	1	18	8	6	15	14	11	6	37	3	6	
504	488	400	226	342	258	368	244	347	116	203	514	332	154	371	438	278	401	267	932	875	1039	1045	1308	1025	429	1657	502	1201	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	0	0	1	1	1	1	3	0	1	2	5	0	0	1	2	5	2	8	10	8	14	4	11	6	19	5	9	
39	11	30	23	25	9	23	45	50	11	35	44	25	10	21	42	24	28	12	80	56	106	122	132	127	47	217	52	134	
34	25	16	13	24	12	15	10	18	3	10	28	27	8	27	36	22	26	7	57	47	59	77	89	77	23	119	48	87	
417	447	338	185	288	227	322	178	269	102	152	431	269	135	320	345	216	339	238	752	740	837	795	1042	774	344	1246	368	938	
4	3	5	2	0	5	2	4	4	0	3	2	2	0	0	5	2	2	3	17	8	12	12	13	18	0	22	8	12	
4	0	3	0	1	0	3	4	1	0	1	1	1	0	2	4	11	0	1	7	10	3	9	8	7	2	10	9	12	
2	2	3	2	2	1	2	0	2	0	1	4	3	0	1	5	0	1	4	8	0	8	7	8	5	4	17	6	2	
0	0	5	1	1	3	0	2	0	0	0	2	0	1	0	0	1	0	0	3	4	6	9	12	6	3	7	6	7	
