"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	
2384	251	253	159	139	
2155	275	295	180	145	
446	0	9	0	0	
1159	159	191	114	102	
172	6	6	3	0	
378	110	89	63	43	
618	6	15	3	0	
1159	159	191	114	102	
12	3	0	0	0	
1765	162	206	117	102	
0	0	0	0	0	
0	0	0	0	0	

8	0	1	1	0	
410	16	29	18	25	
29	5	6	1	2	
1266	137	168	95	74	
26	2	0	1	1	
11	1	0	1	0	
9	0	2	0	0	
6	1	0	0	0	
