"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №2351"	"УИК №2352"	
1159	1140	1059	1027	1857	48	288	405	973	100	3018	1028	
1137	1050	985	1000	1763	50	300	400	935	100	3000	975	
0	0	0	0	0	0	8	0	0	24	0	0	
990	888	770	692	1742	47	248	286	691	70	3000	973	
37	24	69	257	12	1	11	114	18	1	0	0	
110	138	146	51	9	2	33	0	226	5	0	2	
37	24	69	257	12	1	19	114	18	25	0	0	
990	888	770	692	1742	47	248	286	691	70	3000	973	
8	12	6	5	16	1	1	2	10	1	29	8	
1019	900	833	944	1738	47	266	398	699	94	2971	965	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

8	2	10	2	7	0	3	2	5	0	8	1	
66	67	54	58	129	2	30	20	36	8	202	85	
91	108	90	142	146	1	43	43	68	5	128	113	
828	698	652	718	1419	43	172	325	565	80	2548	745	
7	7	13	6	16	0	9	4	12	1	42	11	
10	8	7	6	10	0	6	2	4	0	17	5	
3	4	4	7	5	0	2	0	3	0	10	2	
6	6	3	5	6	1	1	2	6	0	16	3	
